exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,n_features,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,brier,ece,fit_seconds,predict_seconds,params,note
EXP-F1,M1,binary,0,0,r0f0,2593,647,24,0.7434312210200927,0.7599588114151221,0.7878787878787878,0.7320388349514563,0.4297520661157025,0.5561497326203209,0.4330020214145051,0.8233451015004414,0.4762047077613198,104.0,138.0,377.0,28.0,647.0,132.0,515.0,0.3534854989671909,0.07714605852267482,0.096213,0.005914,{},config defaults
EXP-F1,M1,binary,0,1,r0f1,2589,651,24,0.7818740399385561,0.8156774156297815,0.8731343283582089,0.758220502901354,0.4834710743801653,0.6223404255319149,0.528204189905312,0.8890123848840902,0.607258602170615,117.0,125.0,392.0,17.0,651.0,134.0,517.0,0.2952103437002044,0.03031237316990389,0.055329,0.005989,{},config defaults
EXP-F1,M1,binary,0,2,r0f2,2596,644,24,0.8074534161490683,0.8166153296727825,0.8320610687022901,0.8011695906432749,0.5165876777251185,0.6374269005847953,0.5430891027682679,0.8804815261223456,0.5836425622164585,109.0,102.0,411.0,22.0,644.0,131.0,513.0,0.26743136921815186,0.025425176308970846,0.059582,0.005294,{},config defaults
EXP-F1,M1,binary,0,3,r0f3,2585,655,24,0.7862595419847328,0.8219147197249388,0.8832116788321168,0.7606177606177607,0.49387755102040815,0.6335078534031413,0.5411541883185814,0.8647380435701603,0.5462542252488367,121.0,124.0,394.0,16.0,655.0,137.0,518.0,0.3093265018897096,0.04652222934766781,0.061027,0.004621,{},config defaults
EXP-F1,M1,binary,0,4,r0f4,2597,643,24,0.7993779160186625,0.8285797352099237,0.8778625954198473,0.779296875,0.5043859649122807,0.6406685236768802,0.5532863136296429,0.8799349952290076,0.5436553330176018,115.0,113.0,399.0,16.0,643.0,131.0,512.0,0.28357650569039056,0.03782974793225497,0.055757,0.006895,{},config defaults
EXP-F1,M1,binary,1,0,r1f0,2593,647,24,0.714064914992272,0.7443292144748455,0.7954545454545454,0.6932038834951456,0.39923954372623577,0.5316455696202531,0.4009151686159164,0.8071785819358636,0.45143360989871456,105.0,158.0,357.0,27.0,647.0,132.0,515.0,0.37957628056511955,0.09456922586703799,0.048965,0.005021,{},config defaults
EXP-F1,M1,binary,1,1,r1f1,2585,655,24,0.7847328244274809,0.815326419585175,0.8676470588235294,0.7630057803468208,0.4896265560165975,0.6259946949602122,0.5304382047189732,0.8749149948996939,0.5380249264236875,118.0,123.0,396.0,18.0,655.0,136.0,519.0,0.3177493719331128,0.04029548464259532,0.050779,0.004208,{},config defaults
EXP-F1,M1,binary,1,2,r1f2,2596,644,24,0.8229813664596274,0.846256863532878,0.8854961832061069,0.8070175438596491,0.5395348837209303,0.6705202312138728,0.5911188937320054,0.8942309123104623,0.5834387421458627,116.0,99.0,414.0,15.0,644.0,131.0,513.0,0.2452216793633988,0.01758785730574306,0.052074,0.004248,{},config defaults
EXP-F1,M1,binary,1,3,r1f3,2589,651,24,0.7880184331797235,0.803380706287683,0.8296296296296296,0.7771317829457365,0.4933920704845815,0.6187845303867403,0.5161950455890006,0.8818690783807063,0.6093252060823732,112.0,115.0,401.0,23.0,651.0,135.0,516.0,0.28349487668120643,0.03700499166033984,0.048654,0.00411,{},config defaults
EXP-F1,M1,binary,1,4,r1f4,2597,643,24,0.8133748055987559,0.845889491889313,0.9007633587786259,0.791015625,0.5244444444444445,0.6629213483146067,0.584196017990434,0.9006142652671755,0.6282092855646736,118.0,107.0,405.0,13.0,643.0,131.0,512.0,0.26942454727242726,0.024300462090518195,0.051818,0.004579,{},config defaults
EXP-F1,M1,binary,2,0,r2f0,2596,644,24,0.7375776397515528,0.7755978155737095,0.8396946564885496,0.7115009746588694,0.4263565891472868,0.5655526992287918,0.45278975492578216,0.8498132523845663,0.5378538559250957,110.0,148.0,365.0,21.0,644.0,131.0,513.0,0.3441761974724316,0.07041920667112554,0.052857,0.004652,{},config defaults
EXP-F1,M1,binary,2,1,r2f1,2589,651,24,0.7695852534562212,0.7858266693611248,0.8134328358208955,0.758220502901354,0.4658119658119658,0.592391304347826,0.4816753912918608,0.870839227460377,0.5757290346744969,109.0,125.0,392.0,25.0,651.0,134.0,517.0,0.3002105998820214,0.05363790702618006,0.047461,0.00406,{},config defaults
EXP-F1,M1,binary,2,2,r2f2,2585,655,24,0.8213740458015267,0.8494842600682017,0.8978102189781022,0.8011583011583011,0.5442477876106194,0.6776859504132231,0.5979982518347469,0.9053490403855368,0.6244574554185515,123.0,103.0,415.0,14.0,655.0,137.0,518.0,0.2595450531729854,0.032377662026919204,0.050717,0.004002,{},config defaults
EXP-F1,M1,binary,2,3,r2f3,2597,643,24,0.7993779160186625,0.8314199666030535,0.8854961832061069,0.77734375,0.5043478260869565,0.6426592797783933,0.5569809599729298,0.8622674141221373,0.5077030979348852,116.0,114.0,398.0,15.0,643.0,131.0,512.0,0.30467440319759875,0.049620681405111555,0.053593,0.004488,{},config defaults
EXP-F1,M1,binary,2,4,r2f4,2593,647,24,0.8160741885625966,0.8309429243895263,0.8560606060606061,0.8058252427184466,0.5305164319248826,0.6550724637681159,0.5675955861520076,0.8853045013239188,0.5914259113800372,113.0,100.0,415.0,19.0,647.0,132.0,515.0,0.2696482007617795,0.030218141406196764,0.061118,0.004775,{},config defaults
EXP-F1,M1,binary,3,0,r3f0,2596,644,24,0.7437888198757764,0.7823385860750264,0.8473282442748091,0.7173489278752436,0.43359375,0.5736434108527132,0.46447112061198464,0.8467181524634316,0.5275992631197615,111.0,145.0,368.0,20.0,644.0,131.0,513.0,0.3413268405102923,0.07475663736261642,0.063643,0.004018,{},config defaults
EXP-F1,M1,binary,3,1,r3f1,2593,647,24,0.8145285935085008,0.8356060606060607,0.8712121212121212,0.8,0.5275229357798165,0.6571428571428571,0.5722601151464203,0.8988673139158576,0.6196487828732427,115.0,103.0,412.0,17.0,647.0,132.0,515.0,0.2593881529896841,0.03176988740347264,0.052364,0.004846,{},config defaults
EXP-F1,M1,binary,3,2,r3f2,2585,655,24,0.7816793893129771,0.8215388756658732,0.8897058823529411,0.7533718689788054,0.4859437751004016,0.6285714285714286,0.5373458848298831,0.8758783860364955,0.5608440458089968,121.0,128.0,391.0,15.0,655.0,136.0,519.0,0.3077096366132959,0.03564529033349852,0.050913,0.004018,{},config defaults
EXP-F1,M1,binary,3,3,r3f3,2589,651,24,0.8003072196620584,0.8138673557278209,0.837037037037037,0.7906976744186046,0.5113122171945701,0.6348314606741573,0.5374493161857291,0.8645994832041343,0.5195306105311744,113.0,108.0,408.0,22.0,651.0,135.0,516.0,0.2985987500053644,0.029772689801690913,0.068293,0.004675,{},config defaults
EXP-F1,M1,binary,3,4,r3f4,2597,643,24,0.7916018662519441,0.8009750715648856,0.816793893129771,0.78515625,0.4930875576036866,0.6149425287356322,0.5127391556679295,0.8741501669847328,0.5819115772226844,107.0,110.0,402.0,24.0,643.0,131.0,512.0,0.27540592838788347,0.06027229199413965,0.073616,0.003983,{},config defaults
EXP-F1,M1,binary,4,0,r4f0,2585,655,24,0.7236641221374046,0.7686515357588122,0.8455882352941176,0.6917148362235067,0.41818181818181815,0.559610705596107,0.4415849984808249,0.8232177263969173,0.5247402987085038,115.0,160.0,359.0,21.0,655.0,136.0,519.0,0.375105607537029,0.09399141912648078,0.065896,0.003982,{},config defaults
EXP-F1,M1,binary,4,1,r4f1,2596,644,24,0.8059006211180124,0.8156406708033868,0.8320610687022901,0.7992202729044834,0.5141509433962265,0.6355685131195336,0.5407636364387609,0.8897817061738315,0.568934756835549,109.0,103.0,410.0,22.0,644.0,131.0,513.0,0.2636166384487832,0.05829836863992978,0.076457,0.023545,{},config defaults
EXP-F1,M1,binary,4,2,r4f2,2593,647,24,0.8068006182380216,0.8166666666666667,0.8333333333333334,0.8,0.5164319248826291,0.6376811594202898,0.5431105759792983,0.8955428067078552,0.6147057368699209,110.0,103.0,412.0,22.0,647.0,132.0,515.0,0.2610546842931874,0.030634328777238897,0.082938,0.003947,{},config defaults
EXP-F1,M1,binary,4,3,r4f3,2589,651,24,0.8248847926267281,0.85671834625323,0.9111111111111111,0.8023255813953488,0.5466666666666666,0.6833333333333333,0.6082065852410508,0.9073786965259832,0.6248177434790477,123.0,102.0,414.0,12.0,651.0,135.0,516.0,0.2621585046795742,0.04035344992940263,0.052256,0.004107,{},config defaults
EXP-F1,M1,binary,4,4,r4f4,2597,643,24,0.7620528771384136,0.7824203840648856,0.816793893129771,0.748046875,0.4533898305084746,0.5831062670299727,0.47200158517106006,0.8402164837786259,0.5053367790546389,107.0,129.0,383.0,24.0,643.0,131.0,512.0,0.3392549439789543,0.054521267597045155,0.079245,0.004038,{},config defaults
EXP-F1,M3,binary,0,0,r0f0,2593,647,24,0.8176197836166924,0.6713445130920859,0.42424242424242425,0.9184466019417475,0.5714285714285714,0.48695652173913045,0.3852046911249305,0.8508237716975581,0.5200895526257951,56.0,42.0,473.0,76.0,647.0,132.0,515.0,0.24478843813039208,0.033739508292414615,2.12948,1.647624,{},config defaults
EXP-F1,M3,binary,0,1,r0f1,2589,651,24,0.8663594470046083,0.7334218655272958,0.5074626865671642,0.9593810444874274,0.7640449438202247,0.6098654708520179,0.5494219942497356,0.9175062790496262,0.761013119506485,68.0,21.0,496.0,66.0,651.0,134.0,517.0,0.1914714486268683,0.059656695781611604,2.469258,1.397468,{},config defaults
EXP-F1,M3,binary,0,2,r0f2,2596,644,24,0.8633540372670807,0.6953856226656547,0.4122137404580153,0.9785575048732943,0.8307692307692308,0.5510204081632653,0.5221808839967991,0.8940672291415562,0.6987854961256871,54.0,11.0,502.0,77.0,644.0,131.0,513.0,0.20612276876484498,0.03500121952913351,2.299472,1.8673,{},config defaults
EXP-F1,M3,binary,0,3,r0f3,2585,655,24,0.8641221374045801,0.7208170109629963,0.4744525547445255,0.9671814671814671,0.7926829268292683,0.593607305936073,0.5427545198758529,0.8950624242595046,0.7362492097890773,65.0,17.0,501.0,72.0,655.0,137.0,518.0,0.209203335799461,0.06879694856085795,1.832204,1.449755,{},config defaults
EXP-F1,M3,binary,0,4,r0f4,2597,643,24,0.8584758942457231,0.7520798544847328,0.5725190839694656,0.931640625,0.6818181818181818,0.6224066390041494,0.5392359228589023,0.9089635019083969,0.643578928440787,75.0,35.0,477.0,56.0,643.0,131.0,512.0,0.19990738735433142,0.054972548392514614,2.15637,1.653638,{},config defaults
EXP-F1,M3,binary,1,0,r1f0,2593,647,24,0.8052550231839258,0.6438584877905267,0.3712121212121212,0.916504854368932,0.532608695652174,0.4375,0.3319828594751661,0.8588849661665195,0.5372187131428657,49.0,43.0,472.0,83.0,647.0,132.0,515.0,0.240920185612242,0.051273655507410545,2.033,1.573819,{},config defaults
EXP-F1,M3,binary,1,1,r1f1,2585,655,24,0.8625954198473282,0.7342315538932336,0.5147058823529411,0.953757225433526,0.7446808510638298,0.6086956521739131,0.5419798880032589,0.9143573614416866,0.7385597858044968,70.0,24.0,495.0,66.0,655.0,136.0,519.0,0.19956019619721702,0.07129146578855208,2.30311,1.581185,{},config defaults
EXP-F1,M3,binary,1,2,r1f2,2596,644,24,0.8788819875776398,0.7420799666681547,0.5114503816793893,0.9727095516569201,0.8271604938271605,0.6320754716981132,0.5877416529926505,0.9241998125083701,0.7864361414800465,67.0,14.0,499.0,64.0,644.0,131.0,513.0,0.18568952027500352,0.05262864555149155,1.948955,1.650663,{},config defaults
EXP-F1,M3,binary,1,3,r1f3,2589,651,24,0.8525345622119815,0.7128122308354867,0.4740740740740741,0.9515503875968992,0.7191011235955056,0.5714285714285714,0.5022907193385417,0.8932960091874821,0.6429878281568149,64.0,25.0,491.0,71.0,651.0,135.0,516.0,0.21232135483943887,0.031161286283045205,2.036019,1.820969,{},config defaults
EXP-F1,M3,binary,1,4,r1f4,2597,643,24,0.8693623639191291,0.7333537094465649,0.5038167938931297,0.962890625,0.7764705882352941,0.6111111111111112,0.5549946166705056,0.9063543654580153,0.6952332536375615,66.0,19.0,493.0,65.0,643.0,131.0,512.0,0.20384560814000482,0.07369923547769218,1.950251,1.542611,{},config defaults
EXP-F1,M3,binary,2,0,r2f0,2596,644,24,0.8136645962732919,0.664196538844992,0.4122137404580153,0.9161793372319688,0.5567010309278351,0.47368421052631576,0.3695802832581857,0.8531464369150187,0.5057843246732131,54.0,43.0,470.0,77.0,644.0,131.0,513.0,0.24388617370121818,0.025198505293006112,2.249726,1.563959,{},config defaults
