run,task,model_id,quality_group,n_records_corpus,reported,n_folds,n_units_mean,mean_snr_proxy_db,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd,balanced_accuracy_mean,balanced_accuracy_sd,roc_auc_mean,roc_auc_sd,macro_f1_mean,macro_f1_sd,accuracy_mean,accuracy_sd
EXP-A2,binary,M1,clean,2763,True,25,552.6,29.920562692087277,0.9014142249072634,0.03048845446052159,0.869885116890743,0.044971969797433155,0.8856496708990033,0.022863487556233623,0.9456118307762214,0.018698485338421486,,,0.8765103346051785,0.034011701879172504
EXP-A2,binary,M1,low_quality_other,15,False,20,3.75,30.28831458505952,0.325,0.42740547328794376,0.6283482142857142,0.3979288353970323,0.49300595238095235,0.30163220818193526,0.64,0.45117131508503017,,,0.654047619047619,0.3470124225939739
EXP-A2,binary,M1,noisy,462,True,25,92.4,30.995822424002867,0.595446355643357,0.23933025376879452,0.6040885651561637,0.13172185314616197,0.5997674603997605,0.1101822766506413,0.6518519157908083,0.15076445975351543,,,0.5978581337465351,0.10660854863299393
EXP-A2,binary,M3,clean,2763,True,25,552.6,29.920562692087277,0.7373773397034938,0.05689866858299463,0.9305602805396347,0.030252196667429662,0.8339688101215643,0.0326570979741139,0.9415826114890581,0.019979365005296755,,,0.8894812077113666,0.026769608106154863
EXP-A2,binary,M3,low_quality_other,15,False,20,3.75,30.28831458505952,0.32916666666666666,0.4462932125620413,0.9270833333333334,0.1717960677340692,0.6,0.22555973262631818,1.0,0.0,,,0.8395238095238096,0.25778185711469476
EXP-A2,binary,M3,noisy,462,True,25,92.4,30.995822424002867,0.13430796100451275,0.21301237725195368,0.9433984519686033,0.027919647272531472,0.5388532064865579,0.10419094972179442,0.633908554192758,0.13417681374228002,,,0.8126990966756749,0.049103167135117066
EXP-A2,binary,M4,clean,2763,True,25,552.6,29.920562692087277,0.8811172144186861,0.03876417884964768,0.8928839702317422,0.04058369625533043,0.8870005923252142,0.026441676668390066,0.9564046668005163,0.019824789509408178,,,0.8904280809401028,0.032322838244500794
EXP-A2,binary,M4,low_quality_other,15,False,20,3.75,30.28831458505952,0.22916666666666666,0.4054408834115283,0.8054315476190477,0.3284701847553939,0.47633928571428574,0.2352795504799138,0.8666666666666668,0.18257418583505536,,,0.6820238095238095,0.3579237286246764
EXP-A2,binary,M4,noisy,462,True,25,92.4,30.995822424002867,0.38654913372484584,0.231955231265755,0.8488946249455769,0.09146227655943531,0.6177218793352114,0.11204294654652937,0.6496293263168529,0.14661456243759222,,,0.7720106845754343,0.07528573800636289
EXP-A2,binary,M5,clean,2763,True,25,552.6,29.920562692087277,0.8735582862087452,0.050897001777104905,0.8948170841274284,0.04954165017911908,0.8841876851680869,0.031100084001473384,0.9547068891573897,0.020384532089135102,,,0.890277501641932,0.038210769905626794
EXP-A2,binary,M5,low_quality_other,15,False,20,3.75,30.28831458505952,0.22916666666666666,0.4054408834115283,0.8470982142857143,0.2992314951171885,0.49300595238095235,0.23153814586222837,0.9066666666666666,0.1460593486680443,,,0.7141666666666666,0.3529488286444434
EXP-A2,binary,M5,noisy,462,True,25,92.4,30.995822424002867,0.37607287894514285,0.2251075143985537,0.8042709266196261,0.14637249702561383,0.5901719027823844,0.0950601177896284,0.6615559831238008,0.13625500424107556,,,0.7338319380445866,0.10901681185820751
EXP-A2,binary,M6,clean,2763,True,25,552.6,29.920562692087277,0.9206513715556242,0.04509540753423326,0.8684208047620843,0.04739340556477034,0.894536088158854,0.022286611402113656,0.9549998105824692,0.021021861327541153,,,0.8794988170041756,0.03343726047548118
EXP-A2,binary,M6,low_quality_other,15,False,20,3.75,30.28831458505952,0.3125,0.4650622482387085,0.7273065476190477,0.38486469944178725,0.5034226190476191,0.31050319045874214,1.0,0.0,,,0.6716071428571428,0.39080543362332704
EXP-A2,binary,M6,noisy,462,True,25,92.4,30.995822424002867,0.4307593345185549,0.2590641623263102,0.752315868391161,0.14571645596817268,0.591537601454858,0.09616396257790363,0.6594882114623668,0.14010344580504586,,,0.6979065835427111,0.10250285903180875
EXP-A2,binary,M7,clean,2763,True,25,552.6,29.920562692087277,0.9203313715556241,0.04542308548578572,0.867961243607051,0.04791406591114321,0.8941463075813374,0.023086506375108434,0.9549685201975112,0.02108237098298023,,,0.8790690941888566,0.03406815114359839
EXP-A2,binary,M7,low_quality_other,15,False,20,3.75,30.28831458505952,0.3125,0.4650622482387085,0.7273065476190477,0.38486469944178725,0.5034226190476191,0.31050319045874214,1.0,0.0,,,0.6716071428571428,0.39080543362332704
EXP-A2,binary,M7,noisy,462,True,25,92.4,30.995822424002867,0.434759334518555,0.26094299329070236,0.7513144601608371,0.14520526383992108,0.593036897339696,0.09773575675085065,0.6594920561546797,0.14015310557437888,,,0.6974303930665207,0.10204696932599905
EXP-A2,binary,M8,clean,2763,True,25,552.6,29.920562692087277,0.8785413260169243,0.05095459883913945,0.8877501957182785,0.04589330676387021,0.8831457608676012,0.02693549711877522,0.9558732596752187,0.018918924371787313,,,0.8858665077243824,0.033480548310831595
