record_uid,subset,sqi_good,dataset_source,snr_proxy_db,is_noisy,is_low_quality,quality_group,quality_reasons,pp08_poor,sqi_poor
D1_training-a_a0001,training-a,True,D1,26.516948,False,False,clean,,False,False
D1_training-a_a0002,training-a,True,D1,24.019443,False,False,clean,,False,False
D1_training-a_a0003,training-a,True,D1,17.9989,False,False,clean,,False,False
D1_training-a_a0004,training-a,True,D1,32.418254,False,False,clean,,False,False
D1_training-a_a0005,training-a,True,D1,39.591728,False,False,clean,,False,False
D1_training-a_a0006,training-a,False,D1,31.709834,False,False,clean,,False,True
D1_training-a_a0007,training-a,True,D1,38.624182,False,False,clean,,False,False
D1_training-a_a0008,training-a,False,D1,20.649258,False,False,clean,,False,True
D1_training-a_a0009,training-a,True,D1,15.49167,False,False,clean,,False,False
D1_training-a_a0010,training-a,True,D1,11.26999,False,False,clean,,False,False
D1_training-a_a0011,training-a,True,D1,33.44968,False,False,clean,,False,False
D1_training-a_a0012,training-a,True,D1,36.392754,False,False,clean,,False,False
D1_training-a_a0013,training-a,True,D1,20.693031,False,False,clean,,False,False
D1_training-a_a0014,training-a,True,D1,32.116544,False,False,clean,,False,False
D1_training-a_a0015,training-a,True,D1,23.779507,False,False,clean,,False,False
D1_training-a_a0016,training-a,True,D1,33.204873,False,False,clean,,False,False
D1_training-a_a0017,training-a,True,D1,33.219674,False,False,clean,,False,False
D1_training-a_a0018,training-a,True,D1,44.33553,False,False,clean,,False,False
D1_training-a_a0019,training-a,True,D1,38.218242,False,False,clean,,False,False
D1_training-a_a0020,training-a,True,D1,28.170186,False,False,clean,,False,False
D1_training-a_a0021,training-a,True,D1,40.74166,False,False,clean,,False,False
D1_training-a_a0022,training-a,True,D1,27.172254,False,False,clean,,False,False
D1_training-a_a0023,training-a,True,D1,19.484132,False,False,clean,,False,False
D1_training-a_a0024,training-a,True,D1,21.654521,False,False,clean,,False,False
D1_training-a_a0025,training-a,True,D1,39.811883,False,False,clean,,False,False
D1_training-a_a0026,training-a,True,D1,17.935423,False,False,clean,,False,False
D1_training-a_a0027,training-a,True,D1,35.686927,False,False,clean,,False,False
D1_training-a_a0028,training-a,True,D1,21.448636,False,False,clean,,False,False
D1_training-a_a0029,training-a,True,D1,21.97753,False,False,clean,,False,False
D1_training-a_a0030,training-a,True,D1,21.242386,False,False,clean,,False,False
D1_training-a_a0031,training-a,True,D1,24.911524,False,False,clean,,False,False
D1_training-a_a0032,training-a,True,D1,35.617825,False,False,clean,,False,False
D1_training-a_a0033,training-a,True,D1,22.799954,False,False,clean,,False,False
D1_training-a_a0034,training-a,True,D1,30.229468,False,False,clean,,False,False
D1_training-a_a0035,training-a,True,D1,24.461721,False,False,clean,,False,False
D1_training-a_a0036,training-a,True,D1,19.481989,False,False,clean,,False,False
D1_training-a_a0037,training-a,True,D1,31.281058,False,False,clean,,False,False
D1_training-a_a0038,training-a,True,D1,29.21039,False,False,clean,,False,False
D1_training-a_a0039,training-a,True,D1,5.519638,False,False,clean,,False,False
D1_training-a_a0040,training-a,True,D1,25.777615,False,False,clean,,False,False
D1_training-a_a0041,training-a,True,D1,22.025412,False,False,clean,,False,False
D1_training-a_a0042,training-a,True,D1,31.106364,False,False,clean,,False,False
D1_training-a_a0043,training-a,True,D1,39.104138,False,False,clean,,False,False
D1_training-a_a0044,training-a,True,D1,18.600616,False,False,clean,,False,False
D1_training-a_a0045,training-a,True,D1,34.456416,False,False,clean,,False,False
D1_training-a_a0046,training-a,True,D1,32.984023,False,False,clean,,False,False
D1_training-a_a0047,training-a,True,D1,-1.467238,True,True,noisy,low_snr,True,False
D1_training-a_a0048,training-a,True,D1,32.197764,False,False,clean,,False,False
D1_training-a_a0049,training-a,True,D1,30.114194,False,False,clean,,False,False
D1_training-a_a0050,training-a,True,D1,41.552905,False,False,clean,,False,False
D1_training-a_a0051,training-a,False,D1,22.980438,False,False,clean,,False,True
D1_training-a_a0052,training-a,True,D1,29.082934,False,False,clean,,False,False
D1_training-a_a0053,training-a,True,D1,33.803315,False,False,clean,,False,False
D1_training-a_a0054,training-a,True,D1,26.678292,False,False,clean,,False,False
D1_training-a_a0055,training-a,True,D1,48.165546,False,False,clean,,False,False
D1_training-a_a0056,training-a,True,D1,19.113738,False,False,clean,,False,False
D1_training-a_a0057,training-a,True,D1,39.198577,False,False,clean,,False,False
D1_training-a_a0058,training-a,True,D1,28.359986,False,False,clean,,False,False
D1_training-a_a0059,training-a,True,D1,37.433128,False,False,clean,,False,False
D1_training-a_a0060,training-a,True,D1,31.024824,False,False,clean,,False,False
D1_training-a_a0061,training-a,True,D1,30.074197,False,False,clean,,False,False
D1_training-a_a0062,training-a,True,D1,34.720651,False,False,clean,,False,False
D1_training-a_a0063,training-a,True,D1,24.321526,False,False,clean,,False,False
D1_training-a_a0064,training-a,True,D1,32.331168,False,False,clean,,False,False
D1_training-a_a0065,training-a,True,D1,32.460062,False,False,clean,,False,False
D1_training-a_a0066,training-a,True,D1,24.546516,False,False,clean,,False,False
D1_training-a_a0067,training-a,True,D1,19.787823,False,False,clean,,False,False
D1_training-a_a0068,training-a,True,D1,10.760031,False,False,clean,,False,False
D1_training-a_a0069,training-a,True,D1,24.288887,False,False,clean,,False,False
D1_training-a_a0070,training-a,True,D1,41.596742,False,False,clean,,False,False
D1_training-a_a0071,training-a,True,D1,23.359577,False,False,clean,,False,False
D1_training-a_a0072,training-a,True,D1,40.565024,False,False,clean,,False,False
D1_training-a_a0073,training-a,True,D1,19.15016,False,False,clean,,False,False
D1_training-a_a0074,training-a,False,D1,32.62794,False,False,clean,,False,True
D1_training-a_a0075,training-a,True,D1,25.92643,False,False,clean,,False,False
D1_training-a_a0076,training-a,True,D1,35.097289,False,False,clean,,False,False
D1_training-a_a0077,training-a,True,D1,25.704812,False,False,clean,,False,False
D1_training-a_a0078,training-a,True,D1,19.600975,False,False,clean,,False,False
D1_training-a_a0079,training-a,True,D1,23.323365,False,False,clean,,False,False
D1_training-a_a0080,training-a,True,D1,40.063013,False,False,clean,,False,False
D1_training-a_a0081,training-a,True,D1,33.008951,False,False,clean,,False,False
D1_training-a_a0082,training-a,True,D1,16.230589,False,False,clean,,False,False
D1_training-a_a0083,training-a,True,D1,34.27101,False,False,clean,,False,False
D1_training-a_a0084,training-a,True,D1,20.097435,False,False,clean,,False,False
D1_training-a_a0085,training-a,True,D1,40.956257,False,False,clean,,False,False
D1_training-a_a0086,training-a,True,D1,26.042027,False,False,clean,,False,False
D1_training-a_a0087,training-a,True,D1,38.718435,False,False,clean,,False,False
D1_training-a_a0088,training-a,True,D1,26.505696,False,False,clean,,False,False
D1_training-a_a0089,training-a,False,D1,19.816815,False,False,clean,,False,True
D1_training-a_a0090,training-a,True,D1,35.888937,False,False,clean,,False,False
D1_training-a_a0091,training-a,True,D1,32.380977,False,False,clean,,False,False
D1_training-a_a0092,training-a,True,D1,22.837018,False,False,clean,,False,False
