record_uid,dataset_source,duration_sec,n_samples,fs,padlen,padlen_reduced,too_short_to_filter,env_peak_rate,implied_n_heart_sounds,n_nan_features
D3_set_b_normal__296_1311682952647_A1,D3,0.76325,1527,4000,27,False,False,2.619515389652914,1.9993451211525868,0
D3_set_b_murmur__171_1307971016233_E,D3,0.85675,1714,4000,27,False,False,2.3337222870478413,1.9994165694282382,0
D2_set_a_extrahls__201104021355,D2,0.936372,1873,44100,27,False,False,2.1356113187399894,1.9997266417512014,0
D2_set_a_murmur__201104021355,D2,0.936372,1873,44100,27,False,False,2.1356113187399894,1.9997266417512014,0
D3_set_b_Bunlabelledtest__235_1308749032454_C1,D3,1.0275,2055,4000,27,False,False,1.94647201946472,2.0,0
D3_set_b_normal__286_1311170606028_A1,D3,1.03925,2079,4000,27,False,False,2.8860028860028857,2.999278499278499,0
D3_set_b_normal__238_1309194586293_A,D3,1.17275,2346,4000,27,False,False,3.4100596760443307,3.9991474850809885,0
D3_set_b_normal__238_1309194586293_B,D3,1.1765,2353,4000,27,False,False,3.3999150021249465,4.0,0
D3_set_b_normal__235_1308749032454_C,D3,1.20625,2413,4000,27,False,False,1.6576875259013677,1.9995855781185248,0
D3_set_b_Bunlabelledtest__212_1308245076477_C,D3,1.22425,2449,4000,27,False,False,3.2666394446712945,3.9991833401388326,0
D3_set_b_normal__134_1306428161797_D,D3,1.22675,2454,4000,27,False,False,3.2599837000814995,3.9991850040749797,0
D3_set_b_normal__210_1308162935880_D2,D3,1.23325,2467,4000,27,False,False,2.432103769760843,2.9993919740575596,0
D3_set_b_normal__296_1311682952647_A2,D3,1.236,2472,4000,27,False,False,2.4271844660194173,2.9999999999999996,0
D3_set_b_Bunlabelledtest__207_1308159792607_B3,D3,1.254,2508,4000,27,False,False,3.189792663476874,4.0,0
D3_set_b_Bunlabelledtest__296_1311682952647_A,D3,1.28825,2577,4000,27,False,False,2.3282887077997674,2.99941792782305,0
D3_set_b_Bunlabelledtest__245_1309200438094_C,D3,1.3,2600,4000,27,False,False,2.3076923076923075,3.0,0
D3_set_b_normal__232_1308748524018_A,D3,1.329,2658,4000,27,False,False,3.0097817908201656,4.0,0
D3_set_b_Bunlabelledtest__163_1307104470471_B1,D3,1.33425,2669,4000,27,False,False,2.9973772948669914,3.999250655676283,0
D3_set_b_murmur_noisymurmur_171_1307971016233_D,D3,1.3405,2681,4000,27,False,False,2.9839612085042893,4.0,0
D3_set_b_normal__283_1311167409239_A,D3,1.34825,2697,4000,27,False,False,2.9662588060808304,3.9992584352984792,0
