feature,family,mean_short,mean_long,sd_long,standardized_shift
time_duration,time,2.9903421828908554,28.823089704769114,8.68122607465257,-2.975702659939323
time_energy,time,5980.684364411737,57646.17941028913,17362.452154506736,-2.9757026591699884
freq_flatness_mean,freq,0.0004328071138636476,9.193496881761022e-05,0.0001309277938884345,2.603512477545444
time_autocorr_peak_lag,time,0.528382005899705,0.09954176129195054,0.25261959789656074,1.6975731422997125
dwt_cD4_energy,dwt,2336.214910977884,14955.422041620888,8542.303926683519,-1.4772603783417844
mfcc_04_delta_mean,mfcc,0.04380085208022857,-0.01132817762506836,0.039195892380829114,1.406500180418415
dwt_cD5_energy,dwt,1967.6606694786867,18157.871591205138,13378.333253103201,-1.2101814639705597
dwt_cD3_energy,dwt,957.0431527619646,10489.040371645297,8814.749479567761,-1.0813690441206665
freq_band_power_50_100,freq,0.467037836143282,0.3034451235153848,0.15620555478516215,1.047291262163468
mfcc_01_delta_mean,mfcc,0.4337354146025629,0.10148952703660045,0.3361140621152416,0.9884914825492992
freq_total_power,freq,1.0465472897767631,0.9302020454918242,0.1205683288092908,0.9649735169587388
dwt_cD4_std,dwt,2.449551521311907,1.9770738755171375,0.4946841567596458,0.9551097186731495
dwt_cA5_entropy,dwt,4.4250977802680564,3.694154794327191,0.8052494712635871,0.9077224040816558
time_min,time,-7.500067421117012,-18.8891883904724,13.204347600742294,0.8625281092051179
mfcc_03_std,mfcc,8.20780794761192,9.97339669099684,2.0561989626166217,-0.8586662942082776
time_range,time,15.593006887267121,39.864364989562496,28.361723857758584,-0.8557786622570103
time_peak_to_peak,time,15.593006887267121,39.864364989562496,28.361723857758584,-0.8557786622570103
time_crest_factor,time,8.679780060774162,21.977877573878775,15.820256808604631,-0.840574061090575
time_max,time,8.09293946615011,20.975176599090098,15.749594344664057,-0.8179408847634525
time_shannon_entropy,time,3.193422469213902,2.360896912067923,1.0213873214055318,0.8150929032488283
env_peak_rate,env,2.806466520123222,2.5069975321942257,0.3744357450373524,0.7997873918237226
dwt_cD3_entropy,dwt,2.9701121902401497,2.1665450662818397,1.0090097975921895,0.7963917950805538
mfcc_12_delta_mean,mfcc,0.015294921538430028,0.0001574652688781696,0.019053697485603635,0.7944629267358335
dwt_cD2_energy,dwt,266.8371111065718,6207.118703926063,8134.008987275412,-0.7303018231369404
dwt_cD2_entropy,dwt,2.7233060099681095,1.8977024232070017,1.1385366910793846,0.7251444711706199
chroma_01_std,chroma,0.14699279383271638,0.1613757278699512,0.02215337979747021,-0.649243328500027
chroma_02_std,chroma,0.14479463328093917,0.15911132191505525,0.022214218859559185,-0.6444830999742921
env_skew,env,2.2805537041363504,4.0154358227989455,2.7771783141291775,-0.6246923756520083
dwt_cD4_mean_abs,dwt,1.1001117128406441,0.9283116453380832,0.28299135650515866,0.6070859181857351
chroma_12_std,chroma,0.15160365296576997,0.1643911381403353,0.021790478593123146,-0.5868381972390878
mfcc_02_std,mfcc,14.56407821302523,16.86605063382641,3.9375547556488315,-0.5846197865563045
dwt_cD1_energy,dwt,13.342450116524082,424.43309276056857,708.5107335332807,-0.580217946161481
chroma_03_std,chroma,0.1413184757426525,0.153794820222355,0.021841033463559877,-0.5712341634620149
dwt_cD4_entropy,dwt,3.1520826842194114,2.7304888400290035,0.7688757079132951,0.5483250931865186
dwt_cD5_entropy,dwt,3.7163269317398746,3.3755900016745146,0.6252666581600871,0.5449465849786621
dwt_cD1_entropy,dwt,2.47231330828736,1.8184303862921527,1.245894113096543,0.5248302525244682
dwt_cA5_energy,dwt,488.4763831003946,8703.642750202549,15849.404079776868,-0.5183265140917405
chroma_11_std,chroma,0.15348583191159132,0.1648683896816653,0.022782109493897692,-0.4996270329190925
mfcc_10_mean,mfcc,-0.07816864777520716,0.7123187234238337,1.588828615998175,-0.4975284075573
chroma_10_std,chroma,0.15343296053596245,0.164277306327857,0.02199287770087476,-0.4930844403078377
mfcc_08_delta_mean,mfcc,0.010745599952342528,-0.0004013333188044524,0.022626192635399507,0.4926561640647925
mfcc_10_delta_mean,mfcc,-0.010681277954488819,-0.0006277696512232599,0.02048907130207273,-0.49067662243180926
mfcc_01_mean,mfcc,51.87513822754344,32.85009259977775,39.14457625557607,0.4860199661774498
chroma_04_std,chroma,0.13911409058246185,0.1496629852624063,0.0221210989827875,-0.4768702806380717
env_kurtosis,env,5.224275919515121,33.56892509243196,60.13471210370644,-0.47135253801555654
chroma_06_std,chroma,0.12701929590462988,0.138632538342446,0.025627123771141697,-0.4531621473219559
chroma_05_std,chroma,0.13231091297518327,0.14301105289425145,0.023748360378605057,-0.45056331251853315
chroma_05_mean,chroma,0.8191090031418444,0.7971858789098749,0.04914737773448102,0.4460690527663412
time_kurtosis,time,20.566545318576313,144.29714980004886,283.9763033686222,-0.43570749746981907
chroma_06_mean,chroma,0.8511337438581968,0.8312538253200873,0.046484673185914344,0.4276660924042704
mfcc_07_mean,mfcc,-2.2400260811819246,-1.1662404426518387,2.548630484478558,-0.421318682747287
dwt_cD1_std,dwt,0.05504010747409801,0.09026417631756452,0.08561083047058417,-0.4114440737211337
mfcc_11_delta_mean,mfcc,-0.008472574843644538,-0.0008512057737083834,0.018839364903544327,-0.40454490419166494
freq_band_power_250_350,freq,0.03305524343087773,0.08311515999352219,0.1252284276690954,-0.3997488229663251
freq_band_power_100_150,freq,0.145688618146671,0.11392630269144688,0.08087755851959416,0.39272099747582123
freq_centroid_std,freq,22.91133405117998,26.829786368743775,9.99633556325234,-0.3919888735996887
chroma_04_mean,chroma,0.8001474889432049,0.7817763312789775,0.046906932461304465,0.3916512272334696
freq_flatness_std,freq,0.001602011018059954,0.0009667114581481076,0.001633590982692643,0.38889756777714574
freq_flux_mean,freq,0.0977769858979535,0.10602549166863033,0.021781856108909467,-0.378687001210284
dwt_cA5_std,dwt,1.4572713954632899,1.871494044777258,1.1005560389464872,-0.37637579065077387
chroma_09_std,chroma,0.15108518857757647,0.15904251522177038,0.021155191410227012,-0.3761406120082238
time_hjorth_complexity,time,1.8099214844467546,1.6656781870782427,0.3861388600462998,0.37355291656275286
dwt_cD2_std,dwt,0.35976686974591626,0.5184008545059471,0.42731290987173653,-0.37123611549121427
freq_flux_std,freq,0.02492127338976898,0.029084468496251827,0.011787010203650177,-0.35320196000115406
freq_band_power_350_400,freq,0.004719444284084575,0.018850120905725826,0.04280235836387403,-0.3301378045927441
mfcc_09_mean,mfcc,-1.1153303367500733,-0.5394242011149324,1.763983934443239,-0.32648037456016427
time_hjorth_mobility,time,0.31830745083993195,0.3839530439611479,0.20367334178743593,-0.3223082242629822
mfcc_05_mean,mfcc,-2.0231185299020744,-0.7113356055883534,4.071616562989338,-0.3221774211839397
freq_band_power_20_50,freq,0.26228780524469963,0.3445235939831444,0.25541754358655394,-0.3219660935724932
freq_rolloff95_std,freq,40.1413384370706,45.33594333305853,16.163872754188255,-0.32137130593545066
time_median,time,-0.0015237267809779388,0.00026875316457855954,0.005640688955726368,-0.31777677507581614
freq_band_power_150_250,freq,0.08266905102309863,0.11943140376051019,0.12548119551085304,-0.29297101121603464
mfcc_08_mean,mfcc,0.3631382678844576,0.9875366198133443,2.1351090739497143,-0.29244330397314044
chroma_10_mean,chroma,0.6765351426936553,0.6513874013854248,0.08762149546619791,0.28700424678247866
mfcc_11_std,mfcc,3.752495571812776,3.90194182154565,0.5402044237590473,-0.27664758591375976
freq_bandwidth_mean,freq,93.92213347097768,88.69294864813169,19.07184908690985,0.2741834207588763
time_autocorr_peak_value,time,0.23475485470044904,0.1976217941474842,0.13581780157796805,0.2734034870358883
