run,task,model_id,fold_label,n_bins,n_records,brier,ece,mean_confidence,argmax_accuracy,confidence_gap
EXP-A1,binary,M1,r0f0,5,647,0.3153380733920949,0.12375546813878832,0.9089177556194685,0.7851622874806801,0.12375546813878846
EXP-A1,binary,M1,r0f0,10,647,0.3153380733920949,0.12375546813878845,0.9089177556194685,0.7851622874806801,0.12375546813878846
EXP-A1,binary,M1,r0f0,15,647,0.3153380733920949,0.12375546813878835,0.9089177556194685,0.7851622874806801,0.12375546813878846
EXP-A1,binary,M1,r0f0,20,647,0.3153380733920949,0.12375546813878838,0.9089177556194685,0.7851622874806801,0.12375546813878846
EXP-A1,binary,M1,r0f1,5,651,0.20654134857847187,0.05412685369133555,0.9066614159033172,0.8525345622119815,0.05412685369133563
EXP-A1,binary,M1,r0f1,10,651,0.20654134857847187,0.054126853691335505,0.9066614159033172,0.8525345622119815,0.05412685369133563
EXP-A1,binary,M1,r0f1,15,651,0.20654134857847187,0.05734110505687101,0.9066614159033172,0.8525345622119815,0.05412685369133563
EXP-A1,binary,M1,r0f1,20,651,0.20654134857847187,0.05619878126257381,0.9066614159033172,0.8525345622119815,0.05412685369133563
EXP-A1,binary,M1,r0f2,5,644,0.16502019869173506,0.02052026745630368,0.8951021313134248,0.8835403726708074,0.011561758642617326
EXP-A1,binary,M1,r0f2,10,644,0.16502019869173506,0.020520267456303663,0.8951021313134248,0.8835403726708074,0.011561758642617326
EXP-A1,binary,M1,r0f2,15,644,0.16502019869173506,0.024666430814759804,0.8951021313134248,0.8835403726708074,0.011561758642617326
EXP-A1,binary,M1,r0f2,20,644,0.16502019869173506,0.03107744794506938,0.8951021313134248,0.8835403726708074,0.011561758642617326
EXP-A1,binary,M1,r0f3,5,655,0.2181039614543103,0.04461360595855569,0.8904151326761128,0.8458015267175573,0.04461360595855557
EXP-A1,binary,M1,r0f3,10,655,0.2181039614543103,0.0452552227987047,0.8904151326761128,0.8458015267175573,0.04461360595855557
