run,task,model_id,n_bins,n_folds,n_records_total,brier_mean,brier_sd,ece_mean,ece_sd,mean_confidence_mean,mean_confidence_sd,argmax_accuracy_mean,argmax_accuracy_sd,confidence_gap_mean,confidence_gap_sd
EXP-A1,binary,M1,10,25,16200,0.22470480513485033,0.04027640000138679,0.06068840028214269,0.023643803384649203,0.8996858732303589,0.01378544068483566,0.8399528099206428,0.029711112128121765,0.05973306330971605,0.024758410194891955
EXP-A1,binary,M3,10,25,16200,0.18305086728410364,0.02551805546534588,0.05730727207214447,0.01999498442236406,0.8263595178362168,0.015114622106559235,0.8768856610276579,0.025075639105622563,-0.05052614319144119,0.025550890141392675
EXP-A1,binary,M4,10,25,16200,0.16865204607623752,0.028437357590377726,0.06600971978730871,0.02079911002599017,0.8353714038328665,0.013185573008468256,0.8978274239459105,0.024960761293280575,-0.062456020113044027,0.024482255567887228
EXP-A1,binary,M5,10,25,16200,0.17437842948036955,0.03808523274368473,0.03380721349680265,0.019334922084439744,0.903845539764646,0.01097263924046367,0.8803812904490006,0.029019544425135674,0.023464249315645457,0.023241697661961762
EXP-A1,binary,M6,10,25,16200,0.1685833557042958,0.024503612324366545,0.07726626137827351,0.025298992365170192,0.822036942008385,0.013552353013356867,0.897500405624832,0.02740903652419271,-0.07546346361644708,0.02712805619501944
EXP-A1,binary,M8,10,25,16200,0.16617452090134852,0.03489789945823506,0.06055405837450446,0.017257276248466083,0.9522424638082095,0.007933409692458721,0.8964713031776675,0.022933408028739895,0.05577116063054202,0.01863002375123521
EXP-A2,binary,M1,10,25,16200,0.2295338483773963,0.04571397602009447,0.05083655108658282,0.023901038789939558,0.8814509209903126,0.03801147680730684,0.8362042167620645,0.03445161852465311,0.045246704228248016,0.029870313210894228
EXP-A2,binary,M3,10,25,16200,0.18484380635102113,0.023747592373362967,0.05327379954507647,0.021528437376450764,0.831028538385762,0.013317779130758465,0.8780096585505962,0.025163507228212333,-0.04698112016483427,0.028582169045464248
EXP-A2,binary,M4,10,25,16200,0.18903174044812976,0.03516576156033034,0.04932035085448952,0.013709512805416183,0.8350253890893065,0.019320219440789536,0.871885023670048,0.03085342943769596,-0.03685963458074165,0.027412641809385976
EXP-A2,binary,M5,10,25,16200,0.1962967654204526,0.05696214409220647,0.06117432319342893,0.05974864546264271,0.8462704731917745,0.06690036537972263,0.8672979641393492,0.038816047839817513,-0.021027490947574674,0.07493240520158817
EXP-A2,binary,M6,10,25,16200,0.1681414484365483,0.024283104578998318,0.07339964338840421,0.026491167323611297,0.8288314487688653,0.013606479753765397,0.8983028448762389,0.028178994884741678,-0.06947139610737367,0.03093157841760968
EXP-A2,binary,M7,10,25,16200,0.16810544698922125,0.02421865494825142,0.07327930671574456,0.026699693476948765,0.8287503690949113,0.01360916587335104,0.8984264924805666,0.02795741334836202,-0.06967612338565525,0.030603438045078084
EXP-A2,binary,M8,10,25,16200,0.20299937863330406,0.057871857147816536,0.0711806948550666,0.066900723266407,0.8311650384680866,0.08611764733362909,0.8638177500271753,0.033394827842998874,-0.03265271155908853,0.08827169719526719
EXP-B1,pascal_a,M1,10,10,620,0.5194099712477753,0.08453905591836829,0.22834594003222125,0.07493148141111446,0.7846165384576025,0.17521324277692502,0.6629032258064516,0.034383391301762316,0.12171331265115085,0.18626216308487925
EXP-B1,pascal_a,M3,10,10,620,0.4654061495812207,0.02589625832366374,0.18977965095408372,0.04422935259782772,0.5320799721825831,0.0527116320456462,0.6596774193548387,0.03835711608975693,-0.12759744717225566,0.06243248958193802
EXP-B1,pascal_a,M4,10,10,620,0.4047099943561173,0.01977735999649855,0.12419594859157986,0.04033726582557927,0.646129442991909,0.04640566906289694,0.6838709677419356,0.029643115595892975,-0.03774152475002647,0.060377018575918505
EXP-B1,pascal_a,M5,10,10,620,0.4710705374688283,0.11092502583695409,0.1874280640708601,0.09626335296853879,0.7820366233543835,0.126023276376984,0.6693548387096775,0.038206103235354574,0.11268178464470599,0.13060496457803716
EXP-B1,pascal_a,M6,10,10,620,0.430846173829505,0.009831048069349835,0.1726641579795365,0.04631675881211099,0.5540524344142945,0.030329147407261278,0.6709677419354839,0.03816825666515882,-0.11691530752118932,0.05162737463688121
EXP-B1,pascal_a,M7,10,10,620,0.4302396969173664,0.03355718647459063,0.15940215617530834,0.060731588996464456,0.5754622868466011,0.07189398233131204,0.6725806451612903,0.037287184697633785,-0.09711835831468932,0.10090262591741406
EXP-B2,pascal_b,M1,10,5,461,0.6940384720773226,0.08989661322134607,0.308076982028489,0.06831810706988721,0.8389159942232229,0.05302662179785252,0.5661056568489948,0.022908735709092267,0.27281033737422816,0.05818144303617135
EXP-B2,pascal_b,M3,10,5,461,0.42237390963845334,0.011045227649947345,0.05219646596505367,0.02084613870088417,0.7162709331116349,0.019268384912536487,0.7267180925666199,0.022943711216864306,-0.010447159454985023,0.027015270910952488
EXP-B2,pascal_b,M4,10,5,461,0.5207748607825252,0.003476854351441989,0.10788753272970848,0.03389713168656121,0.5263417961408365,0.04075568697654416,0.6095839177185601,0.019214209458170588,-0.08324212157772369,0.05262412782055491
EXP-B2,pascal_b,M5,10,5,461,0.47288747805646364,0.07297026445790553,0.12339022435072051,0.04289184821282027,0.6932377239167644,0.18404785650150896,0.668419822346891,0.09972485523634998,0.02481790156987331,0.11719490068659258
EXP-B2,pascal_b,M6,10,5,461,0.4174865167095227,0.01624512442564098,0.07697362654623877,0.033408752319697144,0.6730248969835035,0.028451596950659755,0.7462131837307152,0.016253180959776226,-0.07318828674721163,0.03475957413207316
EXP-B2,pascal_b,M7,10,5,461,0.44103972084547605,0.05119392423977621,0.09531025108749128,0.03992453709046904,0.6448532960510543,0.05481411148565701,0.7161056568489949,0.07317618513428581,-0.07125236079794053,0.06146421463243476
EXP-C1-three_class,circor_murmur,M3,10,5,3163,0.3362782114201964,0.019537015035515963,0.035650159373218485,0.003914239240845084,0.7749997740799526,0.009931951329088412,0.7941848141260224,0.01613325280225907,-0.01918504004606969,0.02517461278542672
EXP-C1-three_class,circor_murmur,M4,10,5,3163,0.41513390415611157,0.016743731970383587,0.14481166257561853,0.03985394412774772,0.6018722173897114,0.022815475217043274,0.7436013958045875,0.027829807564496302,-0.14172917841487606,0.04450751392454025
EXP-C1-three_class,circor_murmur,M5,10,5,3163,0.405478460201188,0.04240264420061515,0.10011290364828214,0.025825351037828796,0.632912171633093,0.02996556744001085,0.7293928849961006,0.03661149489117923,-0.09648071336300756,0.028145271608261743
EXP-C1-three_class,circor_murmur,M6,10,5,3163,0.3266204075232536,0.01735239093244083,0.06928081569621329,0.03642551416618577,0.7428113077391261,0.03579682755993235,0.7979812826204332,0.01718656912610125,-0.05516997488130708,0.052208469811697786
