run,task,model_id,kind,n_bins,bin,bin_low,bin_high,confidence_mean,accuracy_mean,accuracy_sd,n_folds,n_records,n_classes
EXP-A1,binary,M1,confidence_vs_accuracy,10,5,0.5,0.6000000000000001,0.5503891660343971,0.5052700242759155,0.06895299920530296,25,1015,2
EXP-A1,binary,M1,confidence_vs_accuracy,10,6,0.6000000000000001,0.7000000000000001,0.6505168101441755,0.5477286708865747,0.06291074940495503,25,1034,2
EXP-A1,binary,M1,confidence_vs_accuracy,10,7,0.7000000000000001,0.8,0.7527863972717936,0.6291226657189598,0.0813340371198012,25,1299,2
EXP-A1,binary,M1,confidence_vs_accuracy,10,8,0.8,0.9,0.8547945393566525,0.71406809272853,0.07225779569006817,25,1797,2
EXP-A1,binary,M1,confidence_vs_accuracy,10,9,0.9,1.0,0.9795244446957017,0.9433074741683996,0.018379522180006762,25,11055,2
EXP-A1,binary,M3,confidence_vs_accuracy,10,5,0.5,0.6000000000000001,0.5514045163836564,0.5863928112059934,0.05126795068181453,25,1715,2
EXP-A1,binary,M3,confidence_vs_accuracy,10,6,0.6000000000000001,0.7000000000000001,0.6530915054023975,0.716034491120856,0.0728875706921988,25,1933,2
EXP-A1,binary,M3,confidence_vs_accuracy,10,7,0.7000000000000001,0.8,0.7504948090613769,0.8186363241078917,0.06373702236582217,25,2537,2
EXP-A1,binary,M3,confidence_vs_accuracy,10,8,0.8,0.9,0.8515768774072922,0.904569245357363,0.045210789606888326,25,2911,2
EXP-A1,binary,M3,confidence_vs_accuracy,10,9,0.9,1.0,0.956117119141857,0.9982519972911643,0.0035536529073223445,25,7104,2
EXP-A1,binary,M4,confidence_vs_accuracy,10,5,0.5,0.6000000000000001,0.5530683755447385,0.6580468814152389,0.06884820699169236,25,1766,2
EXP-A1,binary,M4,confidence_vs_accuracy,10,6,0.6000000000000001,0.7000000000000001,0.6519403998366264,0.8087117187564792,0.045326094563819246,25,2212,2
EXP-A1,binary,M4,confidence_vs_accuracy,10,7,0.7000000000000001,0.8,0.7478184769229389,0.8093218504906582,0.06810834023854663,25,1951,2
EXP-A1,binary,M4,confidence_vs_accuracy,10,8,0.8,0.9,0.8551041665841005,0.9137689035942317,0.055094287402035896,25,2247,2
EXP-A1,binary,M4,confidence_vs_accuracy,10,9,0.9,1.0,0.9636305932763599,0.99198313717896,0.00783953990999077,25,8024,2
EXP-A1,binary,M5,confidence_vs_accuracy,10,5,0.5,0.6000000000000001,0.5500248031632624,0.5676067733353909,0.09779068897494347,25,990,2
EXP-A1,binary,M5,confidence_vs_accuracy,10,6,0.6000000000000001,0.7000000000000001,0.6506480411073141,0.6442955053410016,0.0734131771868915,25,916,2
EXP-A1,binary,M5,confidence_vs_accuracy,10,7,0.7000000000000001,0.8,0.7517566120110475,0.7102777034579961,0.07636374250479629,25,1115,2
EXP-A1,binary,M5,confidence_vs_accuracy,10,8,0.8,0.9,0.8559456478796098,0.7684511506660151,0.07214802259978555,25,1683,2
