model_id,method,fold_label,repeat,fold,n_train,n_test,fit_seconds,isotonic_below_min_samples,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,brier,ece
M3,sigmoid,r0f0,0,0,2593,647,2.656521500000963,False,0.8346213292117465,0.7609002647837599,0.6363636363636364,0.8854368932038835,0.5874125874125874,0.610909090909091,0.5067710633572868,0.8818917328626065,0.5712963053881107,84.0,59.0,456.0,48.0,647.0,132.0,515.0,0.22973018268239395,0.043059896352660616
M3,sigmoid,r0f1,0,1,2589,651,2.7457098000013502,False,0.8940092165898618,0.803350269926961,0.6492537313432836,0.9574468085106383,0.7981651376146789,0.7160493827160493,0.6569906060700856,0.9408037183521465,0.8110458321947229,87.0,22.0,495.0,47.0,651.0,134.0,517.0,0.16080387304095983,0.056957024645508114
M3,sigmoid,r0f2,0,2,2596,644,2.5837078999975347,False,0.8757763975155279,0.7401306489293633,0.5114503816793893,0.9688109161793372,0.8072289156626506,0.6261682242990654,0.5769676239054314,0.9271163489725162,0.7683702993917547,67.0,16.0,497.0,64.0,644.0,131.0,513.0,0.173119677509959,0.039224305594401696
M3,sigmoid,r0f3,0,3,2585,655,2.8994456000000355,False,0.8961832061068702,0.8243031874418736,0.7007299270072993,0.9478764478764479,0.7804878048780488,0.7384615384615385,0.6754574629389545,0.9247949722402278,0.7953492049586379,96.0,27.0,491.0,41.0,655.0,137.0,518.0,0.18270604783517083,0.0935754602081835
M3,sigmoid,r0f4,0,4,2597,643,3.009939600000507,False,0.8786936236391913,0.8528223401717557,0.8091603053435115,0.896484375,0.6666666666666666,0.7310344827586207,0.6587724933806479,0.9373359971374046,0.690990227846014,106.0,53.0,459.0,25.0,643.0,131.0,512.0,0.17837221309970364,0.06003592444824486
M3,sigmoid,r1f0,1,0,2593,647,2.5596397000044817,False,0.8284389489953632,0.7485657546337159,0.6136363636363636,0.883495145631068,0.574468085106383,0.5934065934065934,0.48526286269688423,0.8779493968814358,0.5819613763417755,81.0,60.0,455.0,51.0,647.0,132.0,515.0,0.23740618422234733,0.039941410302796104
M3,sigmoid,r1f1,1,1,2585,655,2.942078699998092,False,0.8778625954198473,0.8035532131927916,0.6764705882352942,0.930635838150289,0.71875,0.696969696969697,0.6210229797536967,0.9292757565453929,0.75865218703514,92.0,36.0,483.0,44.0,655.0,136.0,519.0,0.1792423379563322,0.05894933649316838
M3,sigmoid,r1f2,1,2,2596,644,2.674463999996078,False,0.9130434782608695,0.8374179724119459,0.7099236641221374,0.9649122807017544,0.8378378378378378,0.768595041322314,0.719229419417638,0.9539008675207953,0.8675614064407223,93.0,18.0,495.0,38.0,644.0,131.0,513.0,0.14349879345796598,0.06332533236791911
M3,sigmoid,r1f3,1,3,2589,651,2.780116800000542,False,0.8663594470046083,0.7707579672695952,0.6074074074074074,0.9341085271317829,0.7068965517241379,0.6533864541832669,0.5737161694025683,0.923026126902096,0.669056127384076,82.0,34.0,482.0,53.0,651.0,135.0,516.0,0.18479337584155064,0.023950304476803352
M3,sigmoid,r1f4,1,4,2597,643,2.9913527999960934,False,0.895800933125972,0.8465231393129771,0.7633587786259542,0.9296875,0.7352941176470589,0.7490636704119851,0.6835329115749913,0.9460579675572519,0.7471948130302237,100.0,36.0,476.0,31.0,643.0,131.0,512.0,0.1669009716548559,0.08408109918984646
