run,task,model_id,true_class,predicted_class,pair,n_confused,n_true_class_summed,share_of_true_class,n_folds_summed,rank_in_run_model
EXP-B1,pascal_a,M1,normal,extrahls,normal -> extrahls,55.0,155.0,0.3548387096774194,10,1
EXP-B1,pascal_a,M1,extrahls,normal,extrahls -> normal,37.0,95.0,0.3894736842105263,10,2
EXP-B1,pascal_a,M1,normal,murmur,normal -> murmur,34.0,155.0,0.21935483870967742,10,3
EXP-B1,pascal_a,M1,murmur,normal,murmur -> normal,30.0,170.0,0.17647058823529413,10,4
EXP-B1,pascal_a,M1,artifact,normal,artifact -> normal,17.0,200.0,0.085,10,5
EXP-B1,pascal_a,M1,extrahls,murmur,extrahls -> murmur,11.0,95.0,0.11578947368421053,10,6
EXP-B1,pascal_a,M1,murmur,extrahls,murmur -> extrahls,9.0,170.0,0.052941176470588235,10,7
EXP-B1,pascal_a,M1,artifact,extrahls,artifact -> extrahls,7.0,200.0,0.035,10,8
EXP-B1,pascal_a,M1,normal,artifact,normal -> artifact,6.0,155.0,0.03870967741935484,10,9
EXP-B1,pascal_a,M1,extrahls,artifact,extrahls -> artifact,2.0,95.0,0.021052631578947368,10,10
EXP-B1,pascal_a,M1,artifact,murmur,artifact -> murmur,1.0,200.0,0.005,10,11
EXP-B1,pascal_a,M3,extrahls,normal,extrahls -> normal,50.0,95.0,0.5263157894736842,10,1
EXP-B1,pascal_a,M3,normal,murmur,normal -> murmur,45.0,155.0,0.2903225806451613,10,2
EXP-B1,pascal_a,M3,normal,extrahls,normal -> extrahls,39.0,155.0,0.25161290322580643,10,3
EXP-B1,pascal_a,M3,murmur,normal,murmur -> normal,20.0,170.0,0.11764705882352941,10,4
EXP-B1,pascal_a,M3,normal,artifact,normal -> artifact,15.0,155.0,0.0967741935483871,10,5
EXP-B1,pascal_a,M3,extrahls,artifact,extrahls -> artifact,13.0,95.0,0.1368421052631579,10,6
EXP-B1,pascal_a,M3,murmur,extrahls,murmur -> extrahls,9.0,170.0,0.052941176470588235,10,7
EXP-B1,pascal_a,M3,extrahls,murmur,extrahls -> murmur,8.0,95.0,0.08421052631578947,10,8
EXP-B1,pascal_a,M3,artifact,normal,artifact -> normal,5.0,200.0,0.025,10,9
EXP-B1,pascal_a,M3,murmur,artifact,murmur -> artifact,4.0,170.0,0.023529411764705882,10,10
EXP-B1,pascal_a,M3,artifact,murmur,artifact -> murmur,3.0,200.0,0.015,10,11
EXP-B1,pascal_a,M4,normal,extrahls,normal -> extrahls,67.0,155.0,0.432258064516129,10,1
EXP-B1,pascal_a,M4,normal,murmur,normal -> murmur,39.0,155.0,0.25161290322580643,10,2
EXP-B1,pascal_a,M4,extrahls,normal,extrahls -> normal,30.0,95.0,0.3157894736842105,10,3
EXP-B1,pascal_a,M4,murmur,normal,murmur -> normal,20.0,170.0,0.11764705882352941,10,4
EXP-B1,pascal_a,M4,murmur,extrahls,murmur -> extrahls,18.0,170.0,0.10588235294117647,10,5
EXP-B1,pascal_a,M4,normal,artifact,normal -> artifact,11.0,155.0,0.07096774193548387,10,6
EXP-B1,pascal_a,M4,artifact,normal,artifact -> normal,7.0,200.0,0.035,10,7
EXP-B1,pascal_a,M4,artifact,murmur,artifact -> murmur,2.0,200.0,0.01,10,8
EXP-B1,pascal_a,M4,artifact,extrahls,artifact -> extrahls,2.0,200.0,0.01,10,8
EXP-B1,pascal_a,M5,extrahls,normal,extrahls -> normal,49.0,95.0,0.5157894736842106,10,1
EXP-B1,pascal_a,M5,normal,extrahls,normal -> extrahls,46.0,155.0,0.2967741935483871,10,2
EXP-B1,pascal_a,M5,normal,murmur,normal -> murmur,37.0,155.0,0.23870967741935484,10,3
EXP-B1,pascal_a,M5,murmur,normal,murmur -> normal,24.0,170.0,0.1411764705882353,10,4
EXP-B1,pascal_a,M5,normal,artifact,normal -> artifact,16.0,155.0,0.1032258064516129,10,5
EXP-B1,pascal_a,M5,murmur,extrahls,murmur -> extrahls,14.0,170.0,0.08235294117647059,10,6
EXP-B1,pascal_a,M5,artifact,normal,artifact -> normal,11.0,200.0,0.055,10,7
EXP-B1,pascal_a,M5,extrahls,murmur,extrahls -> murmur,4.0,95.0,0.042105263157894736,10,8
EXP-B1,pascal_a,M5,artifact,murmur,artifact -> murmur,2.0,200.0,0.01,10,9
EXP-B1,pascal_a,M5,extrahls,artifact,extrahls -> artifact,1.0,95.0,0.010526315789473684,10,10
EXP-B1,pascal_a,M5,artifact,extrahls,artifact -> extrahls,1.0,200.0,0.005,10,10
EXP-B1,pascal_a,M6,extrahls,normal,extrahls -> normal,64.0,95.0,0.6736842105263158,10,1
EXP-B1,pascal_a,M6,normal,murmur,normal -> murmur,42.0,155.0,0.2709677419354839,10,2
EXP-B1,pascal_a,M6,normal,extrahls,normal -> extrahls,38.0,155.0,0.24516129032258063,10,3
EXP-B1,pascal_a,M6,murmur,normal,murmur -> normal,24.0,170.0,0.1411764705882353,10,4
EXP-B1,pascal_a,M6,normal,artifact,normal -> artifact,12.0,155.0,0.07741935483870968,10,5
EXP-B1,pascal_a,M6,murmur,extrahls,murmur -> extrahls,10.0,170.0,0.058823529411764705,10,6
EXP-B1,pascal_a,M6,artifact,normal,artifact -> normal,7.0,200.0,0.035,10,7
EXP-B1,pascal_a,M6,extrahls,murmur,extrahls -> murmur,2.0,95.0,0.021052631578947368,10,8
EXP-B1,pascal_a,M6,extrahls,artifact,extrahls -> artifact,2.0,95.0,0.021052631578947368,10,8
EXP-B1,pascal_a,M6,artifact,murmur,artifact -> murmur,2.0,200.0,0.01,10,8
EXP-B1,pascal_a,M6,murmur,artifact,murmur -> artifact,1.0,170.0,0.0058823529411764705,10,11
EXP-B1,pascal_a,M7,extrahls,normal,extrahls -> normal,59.0,95.0,0.6210526315789474,10,1
EXP-B1,pascal_a,M7,normal,extrahls,normal -> extrahls,44.0,155.0,0.2838709677419355,10,2
EXP-B1,pascal_a,M7,normal,murmur,normal -> murmur,38.0,155.0,0.24516129032258063,10,3
EXP-B1,pascal_a,M7,murmur,normal,murmur -> normal,26.0,170.0,0.15294117647058825,10,4
EXP-B1,pascal_a,M7,normal,artifact,normal -> artifact,12.0,155.0,0.07741935483870968,10,5
EXP-B1,pascal_a,M7,murmur,extrahls,murmur -> extrahls,12.0,170.0,0.07058823529411765,10,5
EXP-B1,pascal_a,M7,artifact,normal,artifact -> normal,7.0,200.0,0.035,10,7
EXP-B1,pascal_a,M7,extrahls,artifact,extrahls -> artifact,2.0,95.0,0.021052631578947368,10,8
EXP-B1,pascal_a,M7,artifact,murmur,artifact -> murmur,2.0,200.0,0.01,10,8
EXP-B1,pascal_a,M7,extrahls,murmur,extrahls -> murmur,1.0,95.0,0.010526315789473684,10,10
EXP-B1-defaults,pascal_a,M1,normal,extrahls,normal -> extrahls,44.0,155.0,0.2838709677419355,10,1
EXP-B1-defaults,pascal_a,M1,extrahls,normal,extrahls -> normal,39.0,95.0,0.4105263157894737,10,2
EXP-B1-defaults,pascal_a,M1,murmur,normal,murmur -> normal,33.0,170.0,0.19411764705882353,10,3
EXP-B1-defaults,pascal_a,M1,normal,murmur,normal -> murmur,29.0,155.0,0.1870967741935484,10,4
EXP-B1-defaults,pascal_a,M1,artifact,normal,artifact -> normal,18.0,200.0,0.09,10,5
EXP-B1-defaults,pascal_a,M1,extrahls,murmur,extrahls -> murmur,9.0,95.0,0.09473684210526316,10,6
EXP-B1-defaults,pascal_a,M1,murmur,extrahls,murmur -> extrahls,8.0,170.0,0.047058823529411764,10,7
EXP-B1-defaults,pascal_a,M1,normal,artifact,normal -> artifact,6.0,155.0,0.03870967741935484,10,8
EXP-B1-defaults,pascal_a,M1,artifact,extrahls,artifact -> extrahls,4.0,200.0,0.02,10,9
EXP-B1-defaults,pascal_a,M1,extrahls,artifact,extrahls -> artifact,1.0,95.0,0.010526315789473684,10,10
EXP-B1-defaults,pascal_a,M3,normal,extrahls,normal -> extrahls,56.0,155.0,0.36129032258064514,10,1
EXP-B1-defaults,pascal_a,M3,normal,murmur,normal -> murmur,38.0,155.0,0.24516129032258063,10,2
EXP-B1-defaults,pascal_a,M3,extrahls,normal,extrahls -> normal,35.0,95.0,0.3684210526315789,10,3
EXP-B1-defaults,pascal_a,M3,murmur,extrahls,murmur -> extrahls,17.0,170.0,0.1,10,4
EXP-B1-defaults,pascal_a,M3,normal,artifact,normal -> artifact,16.0,155.0,0.1032258064516129,10,5
EXP-B1-defaults,pascal_a,M3,extrahls,artifact,extrahls -> artifact,16.0,95.0,0.16842105263157894,10,5
EXP-B1-defaults,pascal_a,M3,murmur,normal,murmur -> normal,14.0,170.0,0.08235294117647059,10,7
EXP-B1-defaults,pascal_a,M3,artifact,normal,artifact -> normal,7.0,200.0,0.035,10,8
EXP-B1-defaults,pascal_a,M3,murmur,artifact,murmur -> artifact,5.0,170.0,0.029411764705882353,10,9
EXP-B1-defaults,pascal_a,M3,artifact,extrahls,artifact -> extrahls,5.0,200.0,0.025,10,9
EXP-B1-defaults,pascal_a,M3,artifact,murmur,artifact -> murmur,3.0,200.0,0.015,10,11
EXP-B1-defaults,pascal_a,M4,normal,extrahls,normal -> extrahls,53.0,155.0,0.3419354838709677,10,1
EXP-B1-defaults,pascal_a,M4,extrahls,normal,extrahls -> normal,42.0,95.0,0.4421052631578947,10,2
EXP-B1-defaults,pascal_a,M4,normal,murmur,normal -> murmur,38.0,155.0,0.24516129032258063,10,3
EXP-B1-defaults,pascal_a,M4,murmur,normal,murmur -> normal,28.0,170.0,0.16470588235294117,10,4
EXP-B1-defaults,pascal_a,M4,murmur,extrahls,murmur -> extrahls,17.0,170.0,0.1,10,5
EXP-B1-defaults,pascal_a,M4,normal,artifact,normal -> artifact,10.0,155.0,0.06451612903225806,10,6
EXP-B1-defaults,pascal_a,M4,artifact,normal,artifact -> normal,10.0,200.0,0.05,10,6
EXP-B1-defaults,pascal_a,M4,artifact,murmur,artifact -> murmur,1.0,200.0,0.005,10,8
EXP-B1-defaults,pascal_a,M5,extrahls,normal,extrahls -> normal,49.0,95.0,0.5157894736842106,10,1
EXP-B1-defaults,pascal_a,M5,normal,extrahls,normal -> extrahls,43.0,155.0,0.27741935483870966,10,2
EXP-B1-defaults,pascal_a,M5,normal,murmur,normal -> murmur,36.0,155.0,0.23225806451612904,10,3
EXP-B1-defaults,pascal_a,M5,murmur,normal,murmur -> normal,36.0,170.0,0.21176470588235294,10,3
EXP-B1-defaults,pascal_a,M5,normal,artifact,normal -> artifact,21.0,155.0,0.13548387096774195,10,5
EXP-B1-defaults,pascal_a,M5,murmur,extrahls,murmur -> extrahls,11.0,170.0,0.06470588235294118,10,6
EXP-B1-defaults,pascal_a,M5,artifact,normal,artifact -> normal,9.0,200.0,0.045,10,7
EXP-B1-defaults,pascal_a,M5,extrahls,murmur,extrahls -> murmur,6.0,95.0,0.06315789473684211,10,8
EXP-B1-defaults,pascal_a,M5,artifact,murmur,artifact -> murmur,6.0,200.0,0.03,10,8
EXP-B1-defaults,pascal_a,M5,murmur,artifact,murmur -> artifact,3.0,170.0,0.01764705882352941,10,10
EXP-B1-defaults,pascal_a,M5,extrahls,artifact,extrahls -> artifact,1.0,95.0,0.010526315789473684,10,11
EXP-B1-defaults,pascal_a,M6,extrahls,normal,extrahls -> normal,49.0,95.0,0.5157894736842106,10,1
EXP-B1-defaults,pascal_a,M6,normal,extrahls,normal -> extrahls,45.0,155.0,0.2903225806451613,10,2
EXP-B1-defaults,pascal_a,M6,normal,murmur,normal -> murmur,38.0,155.0,0.24516129032258063,10,3
EXP-B1-defaults,pascal_a,M6,murmur,normal,murmur -> normal,23.0,170.0,0.13529411764705881,10,4
EXP-B1-defaults,pascal_a,M6,murmur,extrahls,murmur -> extrahls,14.0,170.0,0.08235294117647059,10,5
EXP-B1-defaults,pascal_a,M6,normal,artifact,normal -> artifact,13.0,155.0,0.08387096774193549,10,6
