record_id,state,phase,phase_key,start_sec,end_sec,duration_sec,in_window
85197_TV,1,S1,s1,0.0,0.103633,0.103633,True
85197_TV,2,Systole,systole,0.103633,0.26025,0.15661699999999998,True
85197_TV,3,S2,s2,0.26025,0.40025,0.14,True
85197_TV,4,Diastole,diastole,0.40025,0.560988,0.16073800000000005,True
85197_TV,1,S1,s1,0.560988,0.70025,0.139262,True
85197_TV,2,Systole,systole,0.70025,0.82025,0.12,True
85197_TV,3,S2,s2,0.82025,0.96025,0.14,True
85197_TV,4,Diastole,diastole,0.96025,1.12025,0.15999999999999992,True
85197_TV,1,S1,s1,1.12025,1.26025,0.14000000000000012,True
85197_TV,2,Systole,systole,1.26025,1.38025,0.11999999999999988,True
85197_TV,3,S2,s2,1.38025,1.50025,0.1200000000000001,True
85197_TV,4,Diastole,diastole,1.50025,1.66025,0.15999999999999992,True
85197_TV,1,S1,s1,1.66025,1.78025,0.1200000000000001,True
85197_TV,2,Systole,systole,1.78025,1.906504,0.12625399999999987,True
85197_TV,3,S2,s2,1.906504,2.015275,0.10877099999999995,True
85197_TV,4,Diastole,diastole,2.015275,2.190852,0.1755770000000001,True
85197_TV,1,S1,s1,2.190852,2.32025,0.12939800000000012,True
85197_TV,2,Systole,systole,2.32025,2.464922,0.1446719999999999,True
85197_TV,3,S2,s2,2.464922,2.558278,0.093356,True
85197_TV,4,Diastole,diastole,2.558278,2.756979,0.1987009999999998,True
85197_TV,1,S1,s1,2.756979,2.88025,0.12327100000000035,True
85197_TV,2,Systole,systole,2.88025,3.04025,0.1599999999999997,True
85197_TV,3,S2,s2,3.04025,3.126118,0.08586800000000006,True
85197_TV,4,Diastole,diastole,3.126118,3.38025,0.25413200000000025,True
85197_TV,1,S1,s1,3.38025,3.48025,0.09999999999999964,True
85197_TV,2,Systole,systole,3.48025,3.64025,0.16000000000000014,True
85197_TV,3,S2,s2,3.64025,3.76025,0.1200000000000001,True
85197_TV,4,Diastole,diastole,3.76025,3.96025,0.19999999999999973,True
85197_TV,1,S1,s1,3.96025,4.10025,0.14000000000000012,True
85197_TV,2,Systole,systole,4.10025,4.24025,0.13999999999999968,False
85197_TV,3,S2,s2,4.24025,4.38025,0.14000000000000057,False
