dataset,grouping,level,n_recordings,below_reporting_floor,mean_s1_sec_mean,mean_s1_sec_sd,mean_s1_sec_n,mean_systole_sec_mean,mean_systole_sec_sd,mean_systole_sec_n,mean_s2_sec_mean,mean_s2_sec_sd,mean_s2_sec_n,mean_diastole_sec_mean,mean_diastole_sec_sd,mean_diastole_sec_n,systole_to_diastole_ratio_mean,systole_to_diastole_ratio_sd,systole_to_diastole_ratio_n,n_cycles_mean,n_cycles_sd,n_cycles_n,annotated_fraction_mean,annotated_fraction_sd,annotated_fraction_n,is_a_feature,caveat
D4 CirCor 2022,murmur present vs absent,Absent,2390,False,0.11653731651496352,0.018440322317047488,2390,0.14161436454868076,0.02898394710173655,2390,0.10379893504105792,0.018674022248881806,2390,0.23193120986903873,0.08214621938217159,2390,0.6675033504966227,0.18116484039256628,2390,20.59581589958159,12.715246928852688,2390,0.5558080706794853,0.2954033738390637,2390,False,"CONTEXT, NOT A RESULT. No cycle timing is among the 138 features; the model has never seen a segmentation."
D4 CirCor 2022,murmur present vs absent,Present,616,False,0.11763321346279913,0.021529872928870236,616,0.13450309835274338,0.029669212512695716,616,0.10299640222985852,0.02117657840132714,616,0.23310155060816784,0.08713598451093463,616,0.646709064569576,0.22908948115483505,616,21.73701298701299,13.983695273505859,616,0.6070354970428126,0.3048760048628263,616,False,"CONTEXT, NOT A RESULT. No cycle timing is among the 138 features; the model has never seen a segmentation."
D4 CirCor 2022,murmur present vs absent,Unknown,156,False,0.10694618074672117,0.025162146859492824,156,0.13816792864723818,0.03052016929677771,156,0.09511076726907315,0.023148009608615364,156,0.2079037787877352,0.0848599177485101,156,0.7478661905910275,0.23614666490366973,156,11.128205128205128,5.823997018696009,156,0.3115334362738862,0.22748449793183295,156,False,"CONTEXT, NOT A RESULT. No cycle timing is among the 138 features; the model has never seen a segmentation."
D4 CirCor 2022,clinical outcome normal vs abnormal,Abnormal,1530,False,0.11540795616494882,0.020975871327294848,1530,0.13801830657288397,0.02811732288930418,1530,0.10193791735360833,0.020592877260766303,1530,0.22791464887142698,0.08523315345958525,1530,0.6715149655455461,0.20867206353558249,1530,20.443790849673203,13.448243106473022,1530,0.5529224339965372,0.3091599380476073,1530,False,"CONTEXT, NOT A RESULT. No cycle timing is among the 138 features; the model has never seen a segmentation."
D4 CirCor 2022,clinical outcome normal vs abnormal,Normal,1632,False,0.11709293947791903,0.0181193203667191,1632,0.14197207577763094,0.030294621748771077,1632,0.10441023570139457,0.018360189177397575,1632,0.23384174232796404,0.08159662719832912,1632,0.6635753798463859,0.18191349687530559,1632,20.264093137254903,12.37586246325017,1632,0.5544994161436072,0.2913262626593376,1632,False,"CONTEXT, NOT A RESULT. No cycle timing is among the 138 features; the model has never seen a segmentation."
D4 CirCor 2022,auscultation location,AV,800,False,0.11283617370650287,0.02109645124770036,800,0.13702324711439728,0.02633569450597377,800,0.10104235444511563,0.020367585754238977,800,0.23407896827818447,0.08504327577258324,800,0.6491008902522786,0.20089726480366585,800,16.7575,11.292390861292628,800,0.4787967464596231,0.2941958701108583,800,False,"CONTEXT, NOT A RESULT. No cycle timing is among the 138 features; the model has never seen a segmentation."
D4 CirCor 2022,auscultation location,MV,860,False,0.11331210985461398,0.021230364471290758,860,0.14254457355905703,0.029703243046737066,860,0.09781960860714749,0.019582857357505725,860,0.21703570031383268,0.08033892585613454,860,0.718414573996432,0.1939834186018902,860,19.501162790697673,12.961166985880032,860,0.4882470489766212,0.2990423143573515,860,False,"CONTEXT, NOT A RESULT. No cycle timing is among the 138 features; the model has never seen a segmentation."
D4 CirCor 2022,auscultation location,PV,766,False,0.11775412776660849,0.016823063178676108,766,0.14130690917202185,0.028244184918824074,766,0.10938705557728291,0.01861095047345868,766,0.23695555002981764,0.08295832669909409,766,0.6547227663889444,0.18916555704389754,766,22.526109660574413,13.264477985130972,766,0.6296354560976949,0.2816272621268959,766,False,"CONTEXT, NOT A RESULT. No cycle timing is among the 138 features; the model has never seen a segmentation."
D4 CirCor 2022,auscultation location,Phc,4,True,0.11683171986607141,0.034280167065000915,4,0.1324999072115385,0.030104075002148005,4,0.09037183589743576,0.01266822704763114,4,0.26533871021634625,0.09513637434512412,4,0.5688365233448135,0.23956668731652067,4,22.75,16.070158679988197,4,0.6342788626400314,0.31575729893062565,4,False,"CONTEXT, NOT A RESULT. No cycle timing is among the 138 features; the model has never seen a segmentation."
D4 CirCor 2022,auscultation location,TV,732,False,0.12197473766595474,0.016753500996045383,732,0.13919182202006056,0.03263056939740489,732,0.10553524500227994,0.017114412908822995,732,0.23750813278192798,0.08386696723564953,732,0.6413424674971616,0.18611017676877722,732,22.987704918032787,13.082234345252614,732,0.6327139850438273,0.28753560600180156,732,False,"CONTEXT, NOT A RESULT. No cycle timing is among the 138 features; the model has never seen a segmentation."
D2 PASCAL set_a,PASCAL A class,normal (every annotated set_a record),21,True,,,0,0.3070103392440868,0.04501122816262797,21,,,0,0.4640372197597516,0.13453284134627216,21,0.7308584456918117,0.24918112677817306,21,9.285714285714286,3.393270651493293,21,,,0,False,"CONTEXT, NOT A RESULT. No cycle timing is among the 138 features; the model has never seen a segmentation."
