record_uid,duration_sec,duration_band,repeat,task,model_id,is_warm,validate_seconds,load_model_seconds,preprocess_seconds,extract_seconds,predict_seconds,total_seconds,unattributed_seconds
D1_training-b_b0122,7.8495,medium,0,binary,M1,False,0.024417,1e-06,3.008937,2.368459,0.07497,5.477038,0.00025399999999997647
D1_training-b_b0122,7.8495,medium,1,binary,M1,True,0.000699,0.0,0.009776,1.791976,0.058047,1.860783,0.00028500000000009074
D1_training-b_b0122,7.8495,medium,2,binary,M1,True,0.000723,1e-06,0.011018,1.779714,0.055205,1.846945,0.000284000000000173
D1_training-b_b0122,7.8495,medium,3,binary,M1,True,0.000719,1e-06,0.011648,2.080948,0.056152,2.149752,0.000284000000000173
D1_training-b_b0122,7.8495,medium,4,binary,M1,True,0.000694,0.0,0.011321,1.75405,0.05609,1.822378,0.0002229999999998622
D1_training-e_e01393,17.648,medium,0,binary,M1,False,0.010519,1e-06,0.018249,2.380069,0.063421,2.472483,0.00022399999999977993
D1_training-e_e01393,17.648,medium,1,binary,M1,True,0.000638,0.0,0.025468,2.18395,0.055111,2.265458,0.00029100000000026327
D1_training-e_e01393,17.648,medium,2,binary,M1,True,0.000662,0.0,0.018188,2.198034,0.060325,2.277438,0.00022900000000003473
D1_training-e_e01393,17.648,medium,3,binary,M1,True,0.000658,0.0,0.017193,2.217868,0.057187,2.293126,0.000220000000000109
D1_training-e_e01393,17.648,medium,4,binary,M1,True,0.00069,0.0,0.020656,2.181023,0.055979,2.258642,0.0002940000000002385
D1_training-b_b0126,8.0,medium,0,binary,M1,False,0.010586,0.0,0.009547,1.589395,0.055336,1.665157,0.00029300000000009874
D1_training-b_b0126,8.0,medium,1,binary,M1,True,0.000659,0.0,0.01113,1.462446,0.055386,1.529906,0.00028500000000009074
D1_training-b_b0126,8.0,medium,2,binary,M1,True,0.000652,0.0,0.010543,1.454783,0.05813,1.524328,0.00021999999999988695
D1_training-b_b0126,8.0,medium,3,binary,M1,True,0.00065,0.0,0.01121,1.422902,0.056796,1.49178,0.0002220000000001665
D1_training-b_b0126,8.0,medium,4,binary,M1,True,0.000668,0.0,0.009573,1.404319,0.057523,1.472367,0.00028399999999995096
D1_training-e_e00991,13.41,medium,0,binary,M1,False,0.011038,1e-06,0.01556,2.914153,0.055997,2.99704,0.0002909999999998192
D1_training-e_e00991,13.41,medium,1,binary,M1,True,0.000667,1e-06,0.015441,2.647138,0.054187,2.717714,0.0002799999999996139
D1_training-e_e00991,13.41,medium,2,binary,M1,True,0.001116,1e-06,0.017836,2.68103,0.055441,2.755646,0.00022199999999994446
D1_training-e_e00991,13.41,medium,3,binary,M1,True,0.000672,0.0,0.013254,2.693148,0.057312,2.764668,0.00028199999999989345
D1_training-e_e00991,13.41,medium,4,binary,M1,True,0.001072,1e-06,0.018304,2.659311,0.057655,2.736565,0.00022199999999994446
D1_training-e_e00264,17.322,medium,0,binary,M1,False,0.008276,1e-06,0.02215,3.768298,0.056084,3.855038,0.00022900000000003473
D1_training-e_e00264,17.322,medium,1,binary,M1,True,0.000675,0.0,0.018935,3.626776,0.058467,3.705143,0.0002900000000001235
D1_training-e_e00264,17.322,medium,2,binary,M1,True,0.000758,0.0,0.018274,3.538267,0.054777,3.612366,0.0002900000000001235
D1_training-e_e00264,17.322,medium,3,binary,M1,True,0.00066,0.0,0.020836,3.644767,0.055517,3.722066,0.00028600000000000847
D1_training-e_e00264,17.322,medium,4,binary,M1,True,0.000663,1e-06,0.020958,3.633663,0.055825,3.711329,0.0002190000000004133
D1_training-e_e00240,16.913,medium,0,binary,M1,False,0.010782,1e-06,0.020086,3.042346,0.054921,3.128366,0.00022999999999973042
D1_training-e_e00240,16.913,medium,1,binary,M1,True,0.000715,0.0,0.020344,2.731132,0.056855,2.809349,0.00030299999999972016
D1_training-e_e00240,16.913,medium,2,binary,M1,True,0.000652,0.0,0.017312,2.584515,0.05829,2.661053,0.0002839999999997289
D1_training-e_e00240,16.913,medium,3,binary,M1,True,0.000685,1e-06,0.018367,2.54522,0.054518,2.619076,0.0002850000000003128
