run,task,arm,model_id,fold_label,repeat,fold,n_train,n_test,n_features,fit_seconds,predict_seconds,params
EXP-A1,binary,config defaults,M1,r0f0,0,0,2593,647,138,0.534553,0.007132,{}
EXP-A1,binary,config defaults,M1,r0f1,0,1,2589,651,138,0.182526,0.006357,{}
EXP-A1,binary,config defaults,M1,r0f2,0,2,2596,644,138,0.203872,0.00649,{}
EXP-A1,binary,config defaults,M1,r0f3,0,3,2585,655,138,0.207301,0.006676,{}
EXP-A1,binary,config defaults,M1,r0f4,0,4,2597,643,138,0.184559,0.006352,{}
EXP-A1,binary,config defaults,M1,r1f0,1,0,2593,647,138,0.184617,0.005783,{}
EXP-A1,binary,config defaults,M1,r1f1,1,1,2585,655,138,0.180934,0.005637,{}
EXP-A1,binary,config defaults,M1,r1f2,1,2,2596,644,138,0.183182,0.006014,{}
EXP-A1,binary,config defaults,M1,r1f3,1,3,2589,651,138,0.187426,0.005725,{}
EXP-A1,binary,config defaults,M1,r1f4,1,4,2597,643,138,0.242231,0.006701,{}
EXP-A1,binary,config defaults,M1,r2f0,2,0,2596,644,138,0.186405,0.005624,{}
EXP-A1,binary,config defaults,M1,r2f1,2,1,2589,651,138,0.19822,0.007758,{}
EXP-A1,binary,config defaults,M1,r2f2,2,2,2585,655,138,0.191811,0.007759,{}
EXP-A1,binary,config defaults,M1,r2f3,2,3,2597,643,138,0.184356,0.006071,{}
EXP-A1,binary,config defaults,M1,r2f4,2,4,2593,647,138,0.200582,0.007188,{}
EXP-A1,binary,config defaults,M1,r3f0,3,0,2596,644,138,0.194553,0.006404,{}
EXP-A1,binary,config defaults,M1,r3f1,3,1,2593,647,138,0.197638,0.00614,{}
EXP-A1,binary,config defaults,M1,r3f2,3,2,2585,655,138,0.193944,0.007073,{}
EXP-A1,binary,config defaults,M1,r3f3,3,3,2589,651,138,0.19914,0.005692,{}
EXP-A1,binary,config defaults,M1,r3f4,3,4,2597,643,138,0.177716,0.005951,{}
EXP-A1,binary,config defaults,M1,r4f0,4,0,2585,655,138,0.199376,0.007607,{}
EXP-A1,binary,config defaults,M1,r4f1,4,1,2596,644,138,0.182883,0.007252,{}
EXP-A1,binary,config defaults,M1,r4f2,4,2,2593,647,138,0.182523,0.007586,{}
EXP-A1,binary,config defaults,M1,r4f3,4,3,2589,651,138,0.190365,0.008162,{}
EXP-A1,binary,config defaults,M1,r4f4,4,4,2597,643,138,0.192888,0.006002,{}
EXP-A1,binary,config defaults,M3,r0f0,0,0,2593,647,138,1.011648,0.764468,{}
EXP-A1,binary,config defaults,M3,r0f1,0,1,2589,651,138,0.932849,0.733604,{}
