run,metric,model_a,model_b,chosen_test,n,n_description,mean_a,mean_b,mean_difference,statistic,p_value,p_holm,p_bh,effect_size_name,effect_size,underpowered,interpretation
EXP-A1,sensitivity,M1,M3,paired t-test,25,"n is the number of cross-validation folds, one paired observation each",0.8479933187885698,0.6698449028753386,0.178148415913231,15.986585435107228,2.6907748236289713e-14,3.498007270717663e-13,1.3453874118144858e-13,Cohen d (paired),3.1973170870214456,False,"M1 is significantly better (paired t-test, n=25, p=2.691e-14, Holm-corrected p=3.498e-13), by 0.1781 with Cohen d (paired) 3.197."
EXP-A1,sensitivity,M1,M4,paired t-test,25,"n is the number of cross-validation folds, one paired observation each",0.8479933187885698,0.7475470301606779,0.1004462886278916,9.892291902472468,6.070712113179986e-10,4.856569690543991e-09,1.1382585212212476e-09,Cohen d (paired),1.9784583804944935,False,"M1 is significantly better (paired t-test, n=25, p=6.071e-10, Holm-corrected p=4.857e-09), by 0.1004 with Cohen d (paired) 1.978."
EXP-A1,sensitivity,M1,M5,paired t-test,25,"n is the number of cross-validation folds, one paired observation each",0.8479933187885698,0.7979991249318708,0.0499941938566989,5.972757580862618,3.643513859758454e-06,1.0930541579275362e-05,4.204054453567447e-06,Cohen d (paired),1.1945515161725238,False,"M1 is significantly better (paired t-test, n=25, p=3.644e-06, Holm-corrected p=1.093e-05), by 0.0500 with Cohen d (paired) 1.195."
EXP-A1,sensitivity,M1,M6,Wilcoxon signed-rank,25,"n is the number of cross-validation folds, one paired observation each",0.8479933187885698,0.8790705821614024,-0.0310772633728325,65.5,0.0157554342819062,0.0315108685638124,0.0168808224448995,rank-biserial correlation,-0.5633333333333334,False,"M6 is significantly better (Wilcoxon signed-rank, n=25, p=0.01576, Holm-corrected p=0.03151), by 0.0311 with rank-biserial correlation -0.563."
EXP-A1,sensitivity,M1,M8,paired t-test,25,"n is the number of cross-validation folds, one paired observation each",0.8479933187885698,0.7556270092682991,0.0923663095202705,9.64551700327901,9.89993426933048e-10,6.929953988531336e-09,1.4948071237851292e-09,Cohen d (paired),1.929103400655802,False,"M1 is significantly better (paired t-test, n=25, p=9.9e-10, Holm-corrected p=6.93e-09), by 0.0924 with Cohen d (paired) 1.929."
EXP-A1,sensitivity,M3,M4,paired t-test,25,"n is the number of cross-validation folds, one paired observation each",0.6698449028753386,0.7475470301606779,-0.0777021272853394,-10.81841231463277,1.0350242349279024e-10,9.31521811435112e-10,2.217909074845505e-10,Cohen d (paired),-2.163682462926554,False,"M4 is significantly better (paired t-test, n=25, p=1.035e-10, Holm-corrected p=9.315e-10), by 0.0777 with Cohen d (paired) -2.164."
EXP-A1,sensitivity,M3,M5,paired t-test,25,"n is the number of cross-validation folds, one paired observation each",0.6698449028753386,0.7979991249318708,-0.1281542220565321,-18.481400256350668,1.0663289930262378e-15,1.5994934895393568e-14,1.5994934895393568e-14,Cohen d (paired),-3.696280051270133,False,"M5 is significantly better (paired t-test, n=25, p=1.066e-15, Holm-corrected p=1.599e-14), by 0.1282 with Cohen d (paired) -3.696."
EXP-A1,sensitivity,M3,M6,paired t-test,25,"n is the number of cross-validation folds, one paired observation each",0.6698449028753386,0.8790705821614024,-0.2092256792860636,-17.794151502032598,2.494776323663014e-15,3.492686853128219e-14,1.8710822427472605e-14,Cohen d (paired),-3.55883030040652,False,"M6 is significantly better (paired t-test, n=25, p=2.495e-15, Holm-corrected p=3.493e-14), by 0.2092 with Cohen d (paired) -3.559."
EXP-A1,sensitivity,M3,M8,paired t-test,25,"n is the number of cross-validation folds, one paired observation each",0.6698449028753386,0.7556270092682991,-0.0857821063929605,-11.69489128249129,2.126134970582471e-11,2.1261349705824706e-10,5.3153374264561765e-11,Cohen d (paired),-2.3389782564982577,False,"M8 is significantly better (paired t-test, n=25, p=2.126e-11, Holm-corrected p=2.126e-10), by 0.0858 with Cohen d (paired) -2.339."
EXP-A1,sensitivity,M4,M5,paired t-test,25,"n is the number of cross-validation folds, one paired observation each",0.7475470301606779,0.7979991249318708,-0.0504520947711926,-9.642218284376082,9.965380825234196e-10,6.929953988531336e-09,1.4948071237851292e-09,Cohen d (paired),-1.9284436568752163,False,"M5 is significantly better (paired t-test, n=25, p=9.965e-10, Holm-corrected p=6.93e-09), by 0.0505 with Cohen d (paired) -1.928."
