run,model_id,metric,n,n_description,status,reason,point,ci_low,ci_high,ci_width,n_resamples,n_valid_resamples,n_skipped_single_class,seed,ci_kind
EXP-A1,M1,roc_auc,3240,"n is the number of records, each appearing exactly once",computed,,0.9187099788305715,0.9085316615921267,0.9280548460761843,0.019523184484057543,2000,2000,0,42,"percentile bootstrap over records, 95%"
EXP-A1,M3,roc_auc,3240,"n is the number of records, each appearing exactly once",computed,,0.9212976129644499,0.9110918272651528,0.930251551191968,0.019159723926815198,2000,2000,0,42,"percentile bootstrap over records, 95%"
EXP-A1,M4,roc_auc,3240,"n is the number of records, each appearing exactly once",computed,,0.9392638878750275,0.9308552669799536,0.9467498300503887,0.01589456307043513,2000,2000,0,42,"percentile bootstrap over records, 95%"
EXP-A1,M5,roc_auc,3240,"n is the number of records, each appearing exactly once",computed,,0.9302477553106067,0.9201637927421654,0.9396237445441696,0.019459951802004216,2000,2000,0,42,"percentile bootstrap over records, 95%"
EXP-A1,M6,roc_auc,3240,"n is the number of records, each appearing exactly once",computed,,0.9370721950507337,0.9285576784826522,0.944837325392202,0.01627964690954975,2000,2000,0,42,"percentile bootstrap over records, 95%"
EXP-A1,M8,roc_auc,3240,"n is the number of records, each appearing exactly once",computed,,0.9407769910212425,0.9319159017017679,0.9484339424195563,0.016518040717788396,2000,2000,0,42,"percentile bootstrap over records, 95%"
EXP-A2,M1,roc_auc,3240,"n is the number of records, each appearing exactly once",computed,,0.918651580407329,0.908546262247596,0.9280271420596437,0.019480879812047602,2000,2000,0,42,"percentile bootstrap over records, 95%"
EXP-A2,M3,roc_auc,3240,"n is the number of records, each appearing exactly once",computed,,0.9185102562230818,0.9080957274260488,0.9280696153997191,0.01997388797367028,2000,2000,0,42,"percentile bootstrap over records, 95%"
EXP-A2,M4,roc_auc,3240,"n is the number of records, each appearing exactly once",computed,,0.9373379078764873,0.9286273699302668,0.944934020876729,0.01630665094646211,2000,2000,0,42,"percentile bootstrap over records, 95%"
EXP-A2,M5,roc_auc,3240,"n is the number of records, each appearing exactly once",computed,,0.9085369735017155,0.8949028547869136,0.9212990560767468,0.02639620128983322,2000,2000,0,42,"percentile bootstrap over records, 95%"
EXP-A2,M6,roc_auc,3240,"n is the number of records, each appearing exactly once",computed,,0.9366342068764145,0.9279348889257977,0.9443287732665246,0.016393884340726972,2000,2000,0,42,"percentile bootstrap over records, 95%"
EXP-A2,M7,roc_auc,3240,"n is the number of records, each appearing exactly once",computed,,0.9367620994233156,0.9281247235215486,0.9444495105337001,0.016324787012151454,2000,2000,0,42,"percentile bootstrap over records, 95%"
EXP-A2,M8,roc_auc,3240,"n is the number of records, each appearing exactly once",computed,,0.9283825096722389,0.9190484003176999,0.9369707548791614,0.017922354561461518,2000,2000,0,42,"percentile bootstrap over records, 95%"
EXP-B1,M1,roc_auc,124,"n is the number of records, each appearing exactly once",skipped,"the target has 4 classes; a binary ROC-AUC is undefined for it, and a one-vs-rest AUC is a different quantity that must not be labelled the same way",,,,,0,0,0,42,n/a
EXP-B1,M3,roc_auc,124,"n is the number of records, each appearing exactly once",skipped,"the target has 4 classes; a binary ROC-AUC is undefined for it, and a one-vs-rest AUC is a different quantity that must not be labelled the same way",,,,,0,0,0,42,n/a
EXP-B1,M4,roc_auc,124,"n is the number of records, each appearing exactly once",skipped,"the target has 4 classes; a binary ROC-AUC is undefined for it, and a one-vs-rest AUC is a different quantity that must not be labelled the same way",,,,,0,0,0,42,n/a
EXP-B1,M5,roc_auc,124,"n is the number of records, each appearing exactly once",skipped,"the target has 4 classes; a binary ROC-AUC is undefined for it, and a one-vs-rest AUC is a different quantity that must not be labelled the same way",,,,,0,0,0,42,n/a
EXP-B1,M6,roc_auc,124,"n is the number of records, each appearing exactly once",skipped,"the target has 4 classes; a binary ROC-AUC is undefined for it, and a one-vs-rest AUC is a different quantity that must not be labelled the same way",,,,,0,0,0,42,n/a
EXP-B1,M7,roc_auc,124,"n is the number of records, each appearing exactly once",skipped,"the target has 4 classes; a binary ROC-AUC is undefined for it, and a one-vs-rest AUC is a different quantity that must not be labelled the same way",,,,,0,0,0,42,n/a
EXP-B2,M1,roc_auc,461,"n is the number of records, each appearing exactly once",skipped,"the target has 3 classes; a binary ROC-AUC is undefined for it, and a one-vs-rest AUC is a different quantity that must not be labelled the same way",,,,,0,0,0,42,n/a
EXP-B2,M3,roc_auc,461,"n is the number of records, each appearing exactly once",skipped,"the target has 3 classes; a binary ROC-AUC is undefined for it, and a one-vs-rest AUC is a different quantity that must not be labelled the same way",,,,,0,0,0,42,n/a
