run,model_id,metric,n_folds,mean,sd,min,max,ci_low,ci_high,ci_kind,formatted
EXP-A1,M1,sensitivity,25,0.8479933187885698,0.039651751739522886,0.7786259541984732,0.916030534351145,0.8316258801123232,0.8643607574648163,95% t-interval of the fold mean,0.8480 +/- 0.0397
EXP-A1,M1,balanced_accuracy,25,0.8429231859881168,0.026269482333133316,0.7803471609296853,0.8837965171755725,0.8320796766277034,0.8537666953485301,95% t-interval of the fold mean,0.8429 +/- 0.0263
EXP-A1,M1,specificity,25,0.8378530531876638,0.036437864841969474,0.7707129094412332,0.9005847953216374,0.8228122418204363,0.8528938645548912,95% t-interval of the fold mean,0.8379 +/- 0.0364
EXP-A1,M1,f1,25,0.6867562609818505,0.042513708411701046,0.5892351274787535,0.740484429065744,0.6692074646537739,0.7043050573099271,95% t-interval of the fold mean,0.6868 +/- 0.0425
EXP-A1,M1,roc_auc,25,0.9221754145146952,0.019219626715802365,0.8776993233303914,0.9472493787479724,0.9142419425279408,0.9301088865014496,95% t-interval of the fold mean,0.9222 +/- 0.0192
EXP-A1,M1,accuracy,25,0.8399528099206428,0.029711112128121765,0.7758887171561051,0.8835403726708074,0.8276886656035229,0.8522169542377627,95% t-interval of the fold mean,0.8400 +/- 0.0297
EXP-A1,M3,sensitivity,25,0.6698449028753386,0.06880737110743863,0.5114503816793893,0.8091603053435115,0.641442616023729,0.6982471897269482,95% t-interval of the fold mean,0.6698 +/- 0.0688
EXP-A1,M3,balanced_accuracy,25,0.8000838883745152,0.036461651068808644,0.737362915346041,0.8528223401717557,0.7850332585354157,0.8151345182136146,95% t-interval of the fold mean,0.8001 +/- 0.0365
EXP-A1,M3,specificity,25,0.9303228738736918,0.027051946775737128,0.882466281310212,0.9688109161793372,0.9191563790657555,0.9414893686816281,95% t-interval of the fold mean,0.9303 +/- 0.0271
EXP-A1,M3,f1,25,0.6908738481927146,0.05766357453401893,0.5789473684210527,0.768595041322314,0.6670714944848962,0.7146762019005329,95% t-interval of the fold mean,0.6909 +/- 0.0577
EXP-A1,M3,roc_auc,25,0.924078273935299,0.023586273628884238,0.8706158951237296,0.9539008675207952,0.9143423386919352,0.9338142091786628,95% t-interval of the fold mean,0.9241 +/- 0.0236
EXP-A1,M3,accuracy,25,0.8768856610276579,0.025075639105622563,0.8260869565217391,0.9130434782608696,0.8665349459312582,0.8872363761240575,95% t-interval of the fold mean,0.8769 +/- 0.0251
EXP-A1,M4,sensitivity,25,0.7475470301606779,0.06326348603349237,0.5801526717557252,0.8778625954198473,0.721433146595058,0.7736609137262979,95% t-interval of the fold mean,0.7475 +/- 0.0633
EXP-A1,M4,balanced_accuracy,25,0.8420833578565423,0.032945933529836234,0.7803297471839055,0.8989816913167938,0.828483944891798,0.8556827708212866,95% t-interval of the fold mean,0.8421 +/- 0.0329
EXP-A1,M4,specificity,25,0.9366196855524065,0.029321936595700607,0.8757281553398059,0.9805068226120858,0.9245161849996035,0.9487231861052094,95% t-interval of the fold mean,0.9366 +/- 0.0293
EXP-A1,M4,f1,25,0.7510565386260639,0.052708521418613076,0.6567164179104478,0.8270676691729323,0.7292995303177808,0.772813546934347,95% t-interval of the fold mean,0.7511 +/- 0.0527
EXP-A1,M4,roc_auc,25,0.9418026774787451,0.02023584548443079,0.9006325389820535,0.9698004553368152,0.9334497310010164,0.9501556239564739,95% t-interval of the fold mean,0.9418 +/- 0.0202
EXP-A1,M4,accuracy,25,0.8978274239459105,0.024960761293280592,0.848531684698609,0.9297709923664124,0.887524128079842,0.908130719811979,95% t-interval of the fold mean,0.8978 +/- 0.0250
