run,metric,test,n,n_description,k_models,models,statistic,p_value,effect_size_name,effect_size,significant,nemenyi_critical_difference,average_ranks,posthoc_run,posthoc_note
EXP-A1,sensitivity,Friedman,25,"n is the number of cross-validation folds, one paired observation each",6,M1; M3; M4; M5; M6; M8,112.99541809851091,9.533345075718818e-23,Kendall W (fold agreement on the ranking),0.9039633447880873,True,1.507922370016207,M6=1.300; M1=1.940; M5=2.860; M8=4.300; M4=4.600; M3=6.000,True,Nemenyi post-hoc computed.
EXP-A1,balanced_accuracy,Friedman,25,"n is the number of cross-validation folds, one paired observation each",6,M1; M3; M4; M5; M6; M8,65.36571428571426,9.410979905966332e-13,Kendall W (fold agreement on the ranking),0.5229257142857141,True,1.507922370016207,M6=1.960; M5=2.680; M8=3.280; M1=3.560; M4=3.560; M3=5.960,True,Nemenyi post-hoc computed.
EXP-A1,specificity,Friedman,25,"n is the number of cross-validation folds, one paired observation each",6,M1; M3; M4; M5; M6; M8,109.19354838709683,6.06614528977932e-22,Kendall W (fold agreement on the ranking),0.8735483870967746,True,1.507922370016207,M4=1.600; M8=2.060; M3=2.340; M5=4.040; M1=5.440; M6=5.520,True,Nemenyi post-hoc computed.
EXP-A1,f1,Friedman,25,"n is the number of cross-validation folds, one paired observation each",6,M1; M3; M4; M5; M6; M8,76.46453089244852,4.601208379286582e-15,Kendall W (fold agreement on the ranking),0.6117162471395882,True,1.507922370016207,M8=1.860; M4=1.940; M5=2.880; M6=4.360; M3=4.800; M1=5.160,True,Nemenyi post-hoc computed.
EXP-A1,roc_auc,Friedman,25,"n is the number of cross-validation folds, one paired observation each",6,M1; M3; M4; M5; M6; M8,82.89714285714285,2.076644976430933e-16,Kendall W (fold agreement on the ranking),0.6631771428571428,True,1.507922370016207,M4=1.720; M8=2.480; M6=2.720; M5=3.400; M3=5.280; M1=5.400,True,Nemenyi post-hoc computed.
EXP-A1,accuracy,Friedman,25,"n is the number of cross-validation folds, one paired observation each",6,M1; M3; M4; M5; M6; M8,98.43678160919544,1.1283572220828164e-19,Kendall W (fold agreement on the ranking),0.7874942528735634,True,1.507922370016207,M8=1.600; M4=1.700; M5=3.260; M3=3.800; M6=5.120; M1=5.520,True,Nemenyi post-hoc computed.
EXP-A2,sensitivity,Friedman,25,"n is the number of cross-validation folds, one paired observation each",7,M1; M3; M4; M5; M6; M7; M8,89.32891832229582,4.1764444628964525e-17,Kendall W (fold agreement on the ranking),0.5955261221486388,True,1.8014532871044353,M7=2.520; M6=2.520; M1=2.580; M8=4.140; M4=4.600; M5=4.640; M3=7.000,True,Nemenyi post-hoc computed.
EXP-A2,balanced_accuracy,Friedman,25,"n is the number of cross-validation folds, one paired observation each",7,M1; M3; M4; M5; M6; M7; M8,59.55119825708064,5.552172261111717e-11,Kendall W (fold agreement on the ranking),0.39700798838053764,True,1.8014532871044353,M6=2.820; M7=2.980; M1=3.680; M4=3.680; M5=3.960; M8=4.000; M3=6.880,True,Nemenyi post-hoc computed.
EXP-A2,specificity,Friedman,25,"n is the number of cross-validation folds, one paired observation each",7,M1; M3; M4; M5; M6; M7; M8,79.83539694100513,3.863808035344962e-15,Kendall W (fold agreement on the ranking),0.5322359796067009,True,1.8014532871044353,M3=1.240; M4=3.200; M5=3.480; M8=4.020; M6=5.000; M7=5.080; M1=5.980,True,Nemenyi post-hoc computed.
EXP-A2,f1,Friedman,25,"n is the number of cross-validation folds, one paired observation each",7,M1; M3; M4; M5; M6; M7; M8,31.61220043572986,1.9361397736023292e-05,Kendall W (fold agreement on the ranking),0.21074800290486573,True,1.8014532871044353,M4=2.480; M5=3.320; M6=3.900; M8=3.920; M7=4.060; M3=4.760; M1=5.560,True,Nemenyi post-hoc computed.
EXP-A2,roc_auc,Friedman,25,"n is the number of cross-validation folds, one paired observation each",7,M1; M3; M4; M5; M6; M7; M8,78.40087145969498,7.641299998083051e-15,Kendall W (fold agreement on the ranking),0.5226724763979665,True,1.8014532871044353,M6=2.820; M4=2.920; M7=2.940; M5=3.400; M8=3.440; M3=6.200; M1=6.280,True,Nemenyi post-hoc computed.
EXP-A2,accuracy,Friedman,25,"n is the number of cross-validation folds, one paired observation each",7,M1; M3; M4; M5; M6; M7; M8,43.37142857142855,9.847634671888699e-08,Kendall W (fold agreement on the ranking),0.28914285714285703,True,1.8014532871044353,M4=2.800; M3=2.940; M5=3.280; M8=3.880; M6=4.440; M7=4.600; M1=6.060,True,Nemenyi post-hoc computed.
EXP-B1,balanced_accuracy,Friedman,10,"n is the number of cross-validation folds, one paired observation each",6,M1; M3; M4; M5; M6; M7,11.66666666666666,0.03965197599603165,Kendall W (fold agreement on the ranking),0.23333333333333323,True,2.384234611985204,M4=1.950; M5=3.350; M1=3.400; M6=3.750; M7=3.850; M3=4.700,True,Nemenyi post-hoc computed.
EXP-B1,accuracy,Friedman,10,"n is the number of cross-validation folds, one paired observation each",6,M1; M3; M4; M5; M6; M7,4.236760124610576,0.5158560175214828,Kendall W (fold agreement on the ranking),0.08473520249221153,False,2.384234611985204,M4=2.550; M6=3.500; M5=3.550; M7=3.600; M1=3.650; M3=4.150,False,"The omnibus did not reject at alpha=0.05, so no post-hoc was run."
EXP-B1,macro_f1,Friedman,10,"n is the number of cross-validation folds, one paired observation each",6,M1; M3; M4; M5; M6; M7,13.142857142857139,0.022076194515851025,Kendall W (fold agreement on the ranking),0.2628571428571428,True,2.384234611985204,M1=2.400; M4=2.600; M5=3.200; M7=3.700; M6=4.200; M3=4.900,True,Nemenyi post-hoc computed.
EXP-B2,balanced_accuracy,Friedman,5,"n is the number of cross-validation folds, one paired observation each",6,M1; M3; M4; M5; M6; M7,9.418604651162786,0.0934879219465916,Kendall W (fold agreement on the ranking),0.37674418604651144,False,3.3718169241488294,M1=1.400; M7=3.300; M6=3.800; M5=3.800; M4=3.900; M3=4.800,False,"The omnibus did not reject at alpha=0.05, so no post-hoc was run."
EXP-B2,accuracy,Friedman,5,"n is the number of cross-validation folds, one paired observation each",6,M1; M3; M4; M5; M6; M7,15.236686390532537,0.009397469593647734,Kendall W (fold agreement on the ranking),0.6094674556213014,True,3.3718169241488294,M6=1.800; M7=2.400; M3=2.800; M5=3.800; M4=4.600; M1=5.600,True,Nemenyi post-hoc computed.
EXP-B2,macro_f1,Friedman,5,"n is the number of cross-validation folds, one paired observation each",6,M1; M3; M4; M5; M6; M7,8.13953488372093,0.14871139785306606,Kendall W (fold agreement on the ranking),0.32558139534883723,False,3.3718169241488294,M1=1.600; M7=3.300; M5=3.600; M6=3.800; M4=3.900; M3=4.800,False,"The omnibus did not reject at alpha=0.05, so no post-hoc was run."
EXP-C1-three_class,balanced_accuracy,Friedman,5,"n is the number of cross-validation folds, one paired observation each",5,M3; M4; M5; M6; M7,16.285714285714295,0.002658789836075929,Kendall W (fold agreement on the ranking),0.8142857142857147,True,2.727774370870376,M4=1.500; M5=1.800; M7=2.800; M3=4.300; M6=4.600,True,Nemenyi post-hoc computed.
