run,model,p_value_kind,n,n_description,tests_used,M1,M3,M4,M5,M6,M8,M7
EXP-A1,M1,p_holm,432,n is the DISCORDANT count -- records the two models disagreed about. Agreements carry no information for this test.,"McNemar (chi-square, cc)",,8.950503827457378e-09,1.3036372725151576e-18,4.8972284116691345e-09,0.5672316534735911,3.311685489952612e-23,
EXP-A1,M3,p_holm,432,n is the DISCORDANT count -- records the two models disagreed about. Agreements carry no information for this test.,"McNemar (chi-square, cc)",8.950503827457378e-09,,0.000239007674913,0.6820671040004784,1.0151930304927489e-06,8.306806112413591e-06,
EXP-A1,M4,p_holm,432,n is the DISCORDANT count -- records the two models disagreed about. Agreements carry no information for this test.,"McNemar (chi-square, cc)",1.3036372725151576e-18,0.000239007674913,,2.0286659894410324e-05,5.931665372081949e-16,0.2638844229242386,
EXP-A1,M5,p_holm,432,n is the DISCORDANT count -- records the two models disagreed about. Agreements carry no information for this test.,"McNemar (chi-square, cc)",4.8972284116691345e-09,0.6820671040004784,2.0286659894410324e-05,,2.6328091812777964e-08,8.845104527776756e-09,
EXP-A1,M6,p_holm,432,n is the DISCORDANT count -- records the two models disagreed about. Agreements carry no information for this test.,"McNemar (chi-square, cc)",0.5672316534735911,1.0151930304927489e-06,5.931665372081949e-16,2.6328091812777964e-08,,1.242100685381584e-19,
EXP-A1,M8,p_holm,432,n is the DISCORDANT count -- records the two models disagreed about. Agreements carry no information for this test.,"McNemar (chi-square, cc)",3.311685489952612e-23,8.306806112413591e-06,0.2638844229242386,8.845104527776756e-09,1.242100685381584e-19,,
EXP-A2,M1,p_holm,463,n is the DISCORDANT count -- records the two models disagreed about. Agreements carry no information for this test.,"McNemar (chi-square, cc); McNemar (exact binomial)",,4.3254263508173895e-08,1.835316056658752e-09,6.160197237136728e-10,0.1393623142474997,0.679805198989617,0.2238228451904954
EXP-A2,M3,p_holm,463,n is the DISCORDANT count -- records the two models disagreed about. Agreements carry no information for this test.,"McNemar (chi-square, cc); McNemar (exact binomial)",4.3254263508173895e-08,,1.0,1.0,8.870443218827112e-05,3.299805246003152e-05,4.335826294197784e-05
EXP-A2,M4,p_holm,463,n is the DISCORDANT count -- records the two models disagreed about. Agreements carry no information for this test.,"McNemar (chi-square, cc); McNemar (exact binomial)",1.835316056658752e-09,1.0,,1.0,1.2995150985933998e-07,8.926353351209873e-11,2.2914834100155247e-08
EXP-A2,M5,p_holm,463,n is the DISCORDANT count -- records the two models disagreed about. Agreements carry no information for this test.,"McNemar (chi-square, cc); McNemar (exact binomial)",6.160197237136728e-10,1.0,1.0,,7.024335546753998e-07,2.498186769337775e-09,1.804776444539463e-07
EXP-A2,M6,p_holm,463,n is the DISCORDANT count -- records the two models disagreed about. Agreements carry no information for this test.,"McNemar (chi-square, cc); McNemar (exact binomial)",0.1393623142474997,8.870443218827112e-05,1.2995150985933998e-07,7.024335546753998e-07,,1.0,1.0
EXP-A2,M7,p_holm,463,n is the DISCORDANT count -- records the two models disagreed about. Agreements carry no information for this test.,"McNemar (chi-square, cc); McNemar (exact binomial)",0.2238228451904954,4.335826294197784e-05,2.2914834100155247e-08,1.804776444539463e-07,1.0,1.0,
EXP-A2,M8,p_holm,463,n is the DISCORDANT count -- records the two models disagreed about. Agreements carry no information for this test.,"McNemar (chi-square, cc); McNemar (exact binomial)",0.679805198989617,3.299805246003152e-05,8.926353351209873e-11,2.498186769337775e-09,1.0,,1.0
EXP-B1,M1,p_holm,26,n is the DISCORDANT count -- records the two models disagreed about. Agreements carry no information for this test.,"McNemar (chi-square, cc); McNemar (exact binomial)",,1.0,1.0,1.0,1.0,,1.0
EXP-B1,M3,p_holm,26,n is the DISCORDANT count -- records the two models disagreed about. Agreements carry no information for this test.,"McNemar (chi-square, cc); McNemar (exact binomial)",1.0,,1.0,1.0,1.0,,1.0
EXP-B1,M4,p_holm,26,n is the DISCORDANT count -- records the two models disagreed about. Agreements carry no information for this test.,"McNemar (chi-square, cc); McNemar (exact binomial)",1.0,1.0,,1.0,1.0,,1.0
EXP-B1,M5,p_holm,26,n is the DISCORDANT count -- records the two models disagreed about. Agreements carry no information for this test.,"McNemar (chi-square, cc); McNemar (exact binomial)",1.0,1.0,1.0,,1.0,,1.0
EXP-B1,M6,p_holm,26,n is the DISCORDANT count -- records the two models disagreed about. Agreements carry no information for this test.,"McNemar (chi-square, cc); McNemar (exact binomial)",1.0,1.0,1.0,1.0,,,1.0
