run,metric,test,model_a,model_b,n,n_description,k_models,average_rank_a,average_rank_b,rank_difference,critical_difference,significant,note
EXP-A1,sensitivity,Nemenyi (post-hoc to Friedman),M1,M3,25,"n is the number of cross-validation folds, one paired observation each",6,1.94,6.0,4.0600000000000005,1.507922370016207,True,"Nemenyi compares average ranks against one critical difference; it reports a decision, not a p-value."
EXP-A1,sensitivity,Nemenyi (post-hoc to Friedman),M1,M4,25,"n is the number of cross-validation folds, one paired observation each",6,1.94,4.6,2.6599999999999997,1.507922370016207,True,"Nemenyi compares average ranks against one critical difference; it reports a decision, not a p-value."
EXP-A1,sensitivity,Nemenyi (post-hoc to Friedman),M1,M5,25,"n is the number of cross-validation folds, one paired observation each",6,1.94,2.86,0.9199999999999999,1.507922370016207,False,"Nemenyi compares average ranks against one critical difference; it reports a decision, not a p-value."
EXP-A1,sensitivity,Nemenyi (post-hoc to Friedman),M1,M6,25,"n is the number of cross-validation folds, one paired observation each",6,1.94,1.3,0.6399999999999999,1.507922370016207,False,"Nemenyi compares average ranks against one critical difference; it reports a decision, not a p-value."
EXP-A1,sensitivity,Nemenyi (post-hoc to Friedman),M1,M8,25,"n is the number of cross-validation folds, one paired observation each",6,1.94,4.3,2.36,1.507922370016207,True,"Nemenyi compares average ranks against one critical difference; it reports a decision, not a p-value."
EXP-A1,sensitivity,Nemenyi (post-hoc to Friedman),M3,M4,25,"n is the number of cross-validation folds, one paired observation each",6,6.0,4.6,1.4000000000000004,1.507922370016207,False,"Nemenyi compares average ranks against one critical difference; it reports a decision, not a p-value."
EXP-A1,sensitivity,Nemenyi (post-hoc to Friedman),M3,M5,25,"n is the number of cross-validation folds, one paired observation each",6,6.0,2.86,3.14,1.507922370016207,True,"Nemenyi compares average ranks against one critical difference; it reports a decision, not a p-value."
EXP-A1,sensitivity,Nemenyi (post-hoc to Friedman),M3,M6,25,"n is the number of cross-validation folds, one paired observation each",6,6.0,1.3,4.7,1.507922370016207,True,"Nemenyi compares average ranks against one critical difference; it reports a decision, not a p-value."
EXP-A1,sensitivity,Nemenyi (post-hoc to Friedman),M3,M8,25,"n is the number of cross-validation folds, one paired observation each",6,6.0,4.3,1.7000000000000002,1.507922370016207,True,"Nemenyi compares average ranks against one critical difference; it reports a decision, not a p-value."
EXP-A1,sensitivity,Nemenyi (post-hoc to Friedman),M4,M5,25,"n is the number of cross-validation folds, one paired observation each",6,4.6,2.86,1.7399999999999998,1.507922370016207,True,"Nemenyi compares average ranks against one critical difference; it reports a decision, not a p-value."
