run,metric,model,p_value_kind,n,n_description,tests_used,M1,M3,M4,M5,M6,M8,M7
EXP-A1,accuracy,M1,p_holm,25,"n is the number of cross-validation folds, one paired observation each",paired t-test,,5.602242936894994e-10,9.789600888212106e-15,1.8903327786438227e-15,0.4525671429119248,2.1160570881812853e-14,
EXP-A1,accuracy,M3,p_holm,25,"n is the number of cross-validation folds, one paired observation each",paired t-test,5.602242936894994e-10,,5.602242936894994e-10,0.5113522826930199,0.0001295306747539,3.873319085242551e-08,
EXP-A1,accuracy,M4,p_holm,25,"n is the number of cross-validation folds, one paired observation each",paired t-test,9.789600888212106e-15,5.602242936894994e-10,,2.182135272143358e-06,6.594169772819062e-08,0.5113522826930199,
EXP-A1,accuracy,M5,p_holm,25,"n is the number of cross-validation folds, one paired observation each",paired t-test,1.8903327786438227e-15,0.5113522826930199,2.182135272143358e-06,,5.205395390394281e-06,6.147719629712226e-06,
EXP-A1,accuracy,M6,p_holm,25,"n is the number of cross-validation folds, one paired observation each",paired t-test,0.4525671429119248,0.0001295306747539,6.594169772819062e-08,5.205395390394281e-06,,6.110169970439041e-08,
EXP-A1,accuracy,M8,p_holm,25,"n is the number of cross-validation folds, one paired observation each",paired t-test,2.1160570881812853e-14,3.873319085242551e-08,0.5113522826930199,6.147719629712226e-06,6.110169970439041e-08,,
EXP-A1,balanced_accuracy,M1,p_holm,25,"n is the number of cross-validation folds, one paired observation each",Wilcoxon signed-rank; paired t-test,,6.82636328116018e-07,1.0,0.3806220518279506,0.0014312565544421,1.0,
EXP-A1,balanced_accuracy,M3,p_holm,25,"n is the number of cross-validation folds, one paired observation each",Wilcoxon signed-rank; paired t-test,6.82636328116018e-07,,7.152557373046875e-07,1.9668482839859428e-11,0.0001350710389747,2.9315428506658584e-10,
EXP-A1,balanced_accuracy,M4,p_holm,25,"n is the number of cross-validation folds, one paired observation each",Wilcoxon signed-rank; paired t-test,1.0,7.152557373046875e-07,,0.1818192545533331,0.0014607310295104,1.0,
EXP-A1,balanced_accuracy,M5,p_holm,25,"n is the number of cross-validation folds, one paired observation each",Wilcoxon signed-rank; paired t-test,0.3806220518279506,1.9668482839859428e-11,0.1818192545533331,,0.0405772517200309,0.3806220518279506,
EXP-A1,balanced_accuracy,M6,p_holm,25,"n is the number of cross-validation folds, one paired observation each",Wilcoxon signed-rank; paired t-test,0.0014312565544421,0.0001350710389747,0.0014607310295104,0.0405772517200309,,0.0114065534376479,
EXP-A1,balanced_accuracy,M8,p_holm,25,"n is the number of cross-validation folds, one paired observation each",Wilcoxon signed-rank; paired t-test,1.0,2.9315428506658584e-10,1.0,0.3806220518279506,0.0114065534376479,,
EXP-A1,f1,M1,p_holm,25,"n is the number of cross-validation folds, one paired observation each",Wilcoxon signed-rank; paired t-test,,1.0,1.2419106552882672e-08,1.8488505483467551e-09,0.0185073449187164,5.661604686819778e-09,
EXP-A1,f1,M3,p_holm,25,"n is the number of cross-validation folds, one paired observation each",Wilcoxon signed-rank; paired t-test,1.0,,1.3113021850585938e-06,9.240658532573876e-06,0.529007988739641,2.2290038372460876e-09,
