run,metric,model,p_value_kind,n,n_description,tests_used,M1,M3,M4,M5,M6,M8,M7
EXP-A1,accuracy,M1,p_value,25,"n is the number of cross-validation folds, one paired observation each",paired t-test,,4.6685357807458285e-11,6.992572063008647e-16,1.2602218524292148e-16,0.1508557143039749,1.6277362216779117e-15,
EXP-A1,accuracy,M3,p_value,25,"n is the number of cross-validation folds, one paired observation each",paired t-test,4.6685357807458285e-11,,4.7281499714429145e-11,0.2556761413465099,3.238266868849308e-05,3.873319085242551e-09,
EXP-A1,accuracy,M4,p_value,25,"n is the number of cross-validation folds, one paired observation each",paired t-test,6.992572063008647e-16,4.7281499714429145e-11,,3.11733610306194e-07,8.242712216023828e-09,0.5016060624866701,
EXP-A1,accuracy,M5,p_value,25,"n is the number of cross-validation folds, one paired observation each",paired t-test,1.2602218524292148e-16,0.2556761413465099,3.11733610306194e-07,,8.675658983990469e-07,1.229543925942445e-06,
EXP-A1,accuracy,M6,p_value,25,"n is the number of cross-validation folds, one paired observation each",paired t-test,0.1508557143039749,3.238266868849308e-05,8.242712216023828e-09,8.675658983990469e-07,,6.7890777449322685e-09,
EXP-A1,accuracy,M8,p_value,25,"n is the number of cross-validation folds, one paired observation each",paired t-test,1.6277362216779117e-15,3.873319085242551e-09,0.5016060624866701,1.229543925942445e-06,6.7890777449322685e-09,,
EXP-A1,balanced_accuracy,M1,p_value,25,"n is the number of cross-validation folds, one paired observation each",Wilcoxon signed-rank; paired t-test,,5.2510486778155233e-08,0.8673449450307439,0.0827762356032958,0.0001431256554442,0.7987504316239178,
EXP-A1,balanced_accuracy,M3,p_value,25,"n is the number of cross-validation folds, one paired observation each",Wilcoxon signed-rank; paired t-test,5.2510486778155233e-08,,5.960464477539064e-08,1.3112321893239618e-12,1.2279185361336644e-05,2.0939591790470415e-11,
EXP-A1,balanced_accuracy,M4,p_value,25,"n is the number of cross-validation folds, one paired observation each",Wilcoxon signed-rank; paired t-test,0.8673449450307439,5.960464477539064e-08,,0.0303032090922221,0.0001623034477233,0.5144948631205226,
EXP-A1,balanced_accuracy,M5,p_value,25,"n is the number of cross-validation folds, one paired observation each",Wilcoxon signed-rank; paired t-test,0.0827762356032958,1.3112321893239618e-12,0.0303032090922221,,0.0057967502457187,0.0761244103655901,
EXP-A1,balanced_accuracy,M6,p_value,25,"n is the number of cross-validation folds, one paired observation each",Wilcoxon signed-rank; paired t-test,0.0001431256554442,1.2279185361336644e-05,0.0001623034477233,0.0057967502457187,,0.0014258191797059,
