chroma_bin,t_0.000,t_0.128,t_0.255,t_0.383,t_0.511,t_0.638,t_0.766,t_0.894,t_1.021,t_1.149,t_1.277,t_1.404,t_1.532,t_1.660,t_1.787,t_1.915,t_2.043,t_2.170,t_2.298,t_2.426,t_2.553,t_2.681,t_2.809,t_2.936,t_3.064,t_3.191,t_3.319,t_3.447,t_3.574,t_3.702,t_3.830,t_3.957,t_4.085,t_4.213,t_4.340,t_4.468,t_4.596,t_4.723,t_4.851,t_4.979,t_5.106,t_5.234,t_5.362,t_5.489,t_5.617,t_5.745,t_5.872
1,0.6864448875266741,0.7742776798024156,0.9660938237120217,0.9037855385740345,1.0,0.760477503785518,0.6368508199612594,0.9483433840611973,0.676681717067976,0.6924899685995197,1.0,0.7559624119010584,0.7507434231613206,0.8456603727981417,0.7005737954790439,0.7238365678679352,0.739663296535347,0.6758312407966356,0.9368779514589872,1.0,0.792334631603458,0.9056520233455582,0.9074131355256844,0.6937278375309166,0.643822836564398,0.6543224404967347,0.7092607650399415,0.5221884341290052,1.0,1.0,0.9138663187506473,0.7577265092874768,0.7251414859339274,1.0,0.6694738340600807,0.7561228469201116,0.6731969020499105,1.0,0.9730679176599363,0.974396978346165,0.8145982893523717,1.0,0.63328725978016,0.9249451380208974,0.5849544984468724,0.7972795524460483,0.9965925238224046
2,0.7869628298348239,0.9222714713666393,0.829304012947519,1.0,0.9435267400567607,0.6864686148712194,0.6585498943142827,0.9888260082624658,0.7357193320298243,0.9043694474837677,0.9816802976063077,0.9027634664076105,1.0,0.6893086214385211,0.7466063544014594,0.9768826603580651,0.8401889307946592,0.7482317637855663,1.0,0.9676181109095434,0.7641062998965,0.6926127981080551,0.9897281260305029,0.8060689839591513,0.7179198749900231,0.7138630326467615,0.696362814905568,0.6299765156479281,0.9996232798140947,0.8725634547628193,0.9094380310750438,0.8200419901218353,0.7671639550518012,0.7063280394513414,0.7867371134621222,0.7175077288299223,0.7499933734342682,0.9084416921715789,0.9721855778929444,1.0,0.9120883720414827,0.8764163228068332,0.6213686993655436,1.0,0.7769924494930694,1.0,0.6820196537566813
3,0.8590622473402754,0.899789390718979,0.6385852609697111,0.9153089600736434,0.9909802735757437,0.7641300223729673,0.9810625915719524,0.9126642346875835,0.803382359747688,0.906790116561411,0.8847022445922482,0.782483130078509,0.8261770829955051,0.5258516521848658,0.7389552015779859,1.0,0.8040007686955538,0.8189262356551664,0.9970405272028832,0.8707448726300824,0.884562924545056,0.6337471906592623,0.9113573408739878,0.805095721424489,0.7496429741561271,1.0,0.6340177144047473,0.5682370297053863,0.8007332953911911,0.6697788413271607,0.567699561519256,0.7081239731068897,0.7222351965613136,0.8338730645809739,0.7989979605372878,0.8518338585152622,0.8006934661766052,0.9033303623451792,0.8718058374488012,0.9194329855850776,0.9544513753135416,0.5843430826268448,0.9510248842283368,0.9271057001514639,0.8292866990578858,0.8047301151495078,0.684498009721613
4,1.0,1.0,0.6334841847136613,0.9150785419732822,0.8279226155898171,0.691623290220319,0.8886643154200847,1.0,0.8054992694045752,0.9194413025107607,0.6109594324226363,0.7316733336505337,0.8811498747639999,0.5914058183342825,0.8123870030027709,0.8165561016242437,0.828573576377638,0.8683896593570061,0.8008030931641577,0.8808641112135694,0.877743867838302,0.665315447325068,1.0,0.6557073808655928,0.737162515911383,0.9498212886388728,0.8863887773406522,0.7078919432342605,0.8492906016377889,0.6176828155164498,0.8794010843037648,0.8037775922854337,0.8522026564616798,0.6404907885875172,0.9030135686786226,0.8769695785267878,1.0,0.6185553288704795,0.8047205936804829,0.7793793041502566,1.0,0.5879360003264842,1.0,0.8586216810375252,0.7153230087455237,0.6450888486286911,0.7937655020409979
5,0.9788906289148397,0.9150842236201839,0.6290079588599311,0.8253661471757938,0.693970522905977,0.637989758897165,0.7032952963988656,0.8569137970936664,0.6843674285727745,0.9278096276752736,0.7706441307157711,0.7667392436401167,0.9743718986903896,0.6432168660521526,0.9356194497909831,0.6233232677555567,0.9092786819057739,0.929868417141547,0.8861744930840219,0.8248214845151631,0.9771612702773522,0.6417914018300322,0.9404934874091022,0.6240819567487806,0.7690313453314459,0.8137447574710396,0.9509831574201685,0.8347431009618723,0.9691782946357053,0.7864536925429766,1.0,0.84900070820658,0.9278602260198935,0.552441471141821,1.0,1.0,0.7247966291143786,0.6061804839821873,0.7400782371504118,0.739315134884039,0.9575478780983739,0.5916798900839214,0.7233380253646612,0.8760235464760899,0.7284109178159888,0.5629199216370779,0.797988595815199
6,0.9795191436934283,0.9043180691651472,0.8443551588651329,0.8573027626388214,0.6697970489351551,0.8015062192422961,0.5756724267443849,0.8643718169563039,0.7601274702088981,1.0,0.8575188208103776,1.0,0.8941249434360254,0.7145187195734263,1.0,0.708968661783688,0.8550956944364116,0.9592876189564017,0.9176528609115285,0.84346468965258,1.0,0.720087534217531,0.9097420603290477,0.8743682711171008,0.899242885797323,0.8285413274027303,0.9158103982571957,1.0,0.786205611022076,0.9177889667563338,0.9539611406077739,0.964859510477023,0.9178798713684188,0.6530018881555535,0.9929259116459559,0.9054038533053829,0.7928661434931374,0.730932034605536,0.8659201645282196,0.7405091260115945,0.9660450338326821,0.6226761336696792,0.7384313146397388,0.8713062127498576,0.8517081587605415,0.7275032070886901,0.9759834753032816
7,0.9714222939749745,0.9723629755749131,0.7251554737103062,0.8352871426643597,0.6621070027381389,1.0,0.7745781187150663,0.8013263708197459,0.890669212501544,0.9787829773938262,0.6762534235784219,0.890489119395312,0.6943716247872171,0.9820659128186532,0.783186117123844,0.664743810388467,0.9430759943294914,0.9210072229188359,0.8570593880564525,0.9162801243203682,0.8620824912711818,0.9813128727221575,0.6205625592109919,1.0,1.0,0.6500496374892187,1.0,0.8575710846733311,0.718116680473088,0.6931771538580229,0.8336511417279878,1.0,1.0,0.5476696816194409,0.8320252272398785,0.9178357186448227,0.9568409968865421,0.8072582544546552,0.7725167894821734,0.6501924348373878,0.9554226360268462,0.6898513824904692,0.6072840107673515,0.796438342886382,1.0,0.6953842455461556,0.8141495016455896
8,0.9220374339104774,0.8619364155935932,0.664488838833705,0.7764922121248209,0.6580572783510704,0.7244308904380238,0.6094036771309977,0.6775529483725573,0.9440105953308224,0.8391553045495177,0.8926018073869361,0.768950840882707,0.7232921463306323,0.9207915491177895,0.6759672196479505,0.5023198222208282,1.0,0.9564602253066504,0.8591277648404291,0.9326548498085748,0.9820528670271278,1.0,0.7014446331028013,0.7237507763791104,0.9549869247087935,0.46422566165000123,0.8790476328835902,0.8265270953455348,0.6868845942936156,0.5774550851675114,0.8576439191845289,0.8542408923765712,0.8581695186679646,0.5729177910183142,0.7213175538721448,0.8312670484810402,0.8399638823624478,0.8257661016469658,0.900278151684467,0.5770060322254744,0.8121232975024851,0.5159611579239864,0.6145937678493871,0.7749016440875611,0.8230103721805269,0.7200533565891964,0.5963022158209097
9,0.8841154782125105,0.8893011422605698,0.7539849012060638,0.7510871660461382,0.8433408182920429,0.7894821107316422,0.7517664821758085,0.7965218527282046,0.9624232207430071,0.8084976139584374,0.9055528884171742,0.8967436323185632,0.6990717578338375,0.7126112513456814,0.5916906886532116,0.5717645253899906,0.965824663712831,1.0,0.7448884076875939,0.9387846071139097,0.9852918584226317,0.9366439621009469,0.7689919675883852,0.7146196339500852,0.9724218043679811,0.4935204013656826,0.8840060006474639,0.8316458964760387,0.7202940849113819,0.5785610201742504,0.7839772041187211,0.8246269693243078,0.7847530279593093,0.6933624498950907,0.73954586411658,0.8444696760940865,0.5630756182616737,0.6949638980012047,1.0,0.7270461787978912,0.7397597185289142,0.7105384268587959,0.802704765161569,0.7326169225032642,0.759256814665065,0.6754069674696517,0.7112548644002542
10,0.8147865386869625,0.9205975332740614,1.0,0.7333572874795861,0.9820878230033331,0.8143407933321738,1.0,0.9210392634014029,1.0,0.7886290376891137,0.9512020691960281,0.8840475971614596,0.5617375335707043,0.9870174670533641,0.652478520807184,0.5106863136090484,0.9237122883075434,0.9786004827377739,0.889550211591454,0.9430284375932574,0.9084673817129675,0.8159708191314895,0.9072947249551404,0.6604609775433594,0.9856861780753412,0.6055652869444852,0.8572810930497762,0.8854469274597166,0.703305126039113,0.616208529343161,0.840817370745998,0.7194972159355396,0.7565623095089411,0.8364591679181478,0.7188067203122891,0.8202128333135856,0.42503479936777805,0.9167258777138299,0.9654869329105005,0.7922561702669791,0.5920407361814162,0.7964313097432686,0.7643086685826098,0.6853874667662588,0.7680424193132863,0.6293235302018534,0.9448522913846666
