task,model_id,kind,feature,importance_mean,importance_sd,importance_min,importance_max,rank_mean,rank_sd,rank_best,rank_worst,n_folds,n_folds_positive,rank
binary,M1,permutation,time_zcr_mean,0.18822103696304043,0.03319952717156813,0.13210135333921744,0.22011591744416173,1.0,0.0,1,1,5,5,1
binary,M1,permutation,dwt_cD1_entropy,0.12280085800967941,0.016365857356420557,0.10079802883200939,0.13717413897629835,2.0,0.0,2,2,5,5,2
binary,M1,permutation,time_iqr,0.09420503946521523,0.015575100275468268,0.06840881548910746,0.11009555703109206,3.0,0.0,3,3,5,5,3
binary,M1,permutation,mfcc_04_mean,0.06035367499766516,0.013458178082750303,0.04388862272073948,0.07432927101468684,4.2,0.44721359549995787,4,5,5,5,4
binary,M1,permutation,time_sample_entropy,0.039449032395576664,0.014185221098737169,0.018079079198473246,0.05611738214151675,7.4,1.6733200530681511,6,10,5,5,5
binary,M1,permutation,freq_rolloff95_mean,0.03219051822555279,0.020799987410945582,-0.0020446410957359884,0.049255663430420725,27.6,44.47246339028231,5,107,5,4,6
binary,M1,permutation,time_hjorth_mobility,0.032037881229757224,0.037001144102306795,-0.0018480140744275397,0.07744449897514356,29.8,31.411781229341326,4,71,5,4,7
binary,M1,permutation,chroma_01_mean,0.027634148922893564,0.017005736810424443,0.009794057075610475,0.052418790827790405,12.6,9.370165420097983,6,28,5,5,8
binary,M1,permutation,freq_centroid_mean,0.026840427926271827,0.006307146437274495,0.02068806452092913,0.037008567483020026,11.2,5.215361924162119,6,19,5,5,9
binary,M1,permutation,dwt_cD2_mean_abs,0.02411155379495292,0.010321830050215176,0.009876151159098068,0.0372044402779638,12.6,6.024948132556827,8,23,5,5,10
binary,M1,permutation,freq_band_power_20_50,0.022496514703485175,0.023676159174514662,-0.004803047471374089,0.04805421634573739,33.8,40.13975585376672,7,102,5,4,11
binary,M1,permutation,dwt_cA5_energy,0.019600787577063045,0.018535913384284477,0.0023555496034403543,0.04075247553335829,30.0,31.28897569432403,5,82,5,5,12
binary,M1,permutation,mfcc_01_std,0.019153489503462413,0.014391185487144765,0.00337174976145036,0.03977575405859855,17.2,7.854934754662192,9,28,5,5,13
binary,M1,permutation,env_skew,0.017013877271804118,0.018486402438187728,-0.007447220896946616,0.03873524062472929,37.2,48.463388243085106,10,123,5,4,14
binary,M1,permutation,dwt_cD5_std,0.015583612394638905,0.018506704356269287,0.0011718749999999223,0.0475915875169606,27.8,20.06738647656939,8,60,5,5,15
binary,M1,permutation,dwt_cD2_energy,0.013182398753144295,0.01115698255706288,-0.00218395450215082,0.02878420652143283,29.6,25.065913109240604,10,69,5,4,16
binary,M1,permutation,mfcc_03_mean,0.01224897533216136,0.014310705277398353,-0.004698440717858188,0.03427823162656429,40.6,51.29619868957153,13,132,5,4,17
binary,M1,permutation,freq_band_power_150_250,0.01178150826969714,0.008535528481130088,-0.0016448223101129256,0.02216061212411573,30.2,22.709029041330677,13,67,5,4,18
binary,M1,permutation,freq_bandwidth_mean,0.011466052279785225,0.011072111627742874,-0.004117387466902012,0.020786617366412175,41.0,50.53711507397311,7,130,5,4,19
binary,M1,permutation,freq_rolloff85_mean,0.011367884802015223,0.011239380455331143,-0.0005766111631921201,0.029453515739923507,38.0,46.09772228646444,7,119,5,4,20
binary,M3,permutation,dwt_cD1_entropy,0.019712306816080178,0.009937469888760712,0.0074554210400763375,0.0306163577522801,2.0,2.23606797749979,1,6,5,5,1
binary,M3,permutation,mfcc_04_mean,0.018398237008451265,0.006929807576917871,0.010372572781331935,0.027301412180052952,2.0,0.7071067811865476,1,3,5,5,2
binary,M3,permutation,mfcc_01_std,0.01305835481083149,0.005684194769481853,0.006077558267339333,0.018546291752071453,3.4,1.140175425099138,2,5,5,5,3
binary,M3,permutation,time_zcr_mean,0.01138770162846466,0.006931785036331401,0.0037840572593486168,0.017509887698836657,8.6,7.469939758793239,2,19,5,5,4
binary,M3,permutation,dwt_cA5_energy,0.006553336240741577,0.008224002447438195,-0.0032666388358778666,0.014731227806807412,52.6,65.32074708697077,4,130,5,3,5
binary,M3,permutation,dwt_cD2_entropy,0.0060552700005347074,0.004882222032848502,-0.0006939943071330057,0.010984848484848476,33.6,45.878099350343625,5,114,5,4,6
binary,M3,permutation,chroma_03_std,0.0053636388250856305,0.006668563443540093,-0.0032565510468282157,0.014422624301265074,42.8,50.95782569929765,5,125,5,4,7
binary,M3,permutation,freq_rolloff85_std,0.005145433890520394,0.004094498400151352,0.0005330093034351058,0.010254337596350981,30.0,26.851443164195103,7,67,5,5,8
binary,M3,permutation,mfcc_06_mean,0.0050545027819641365,0.0010346857407526314,0.003553109939971255,0.00621914604925089,21.0,10.41633332799983,14,39,5,5,9
binary,M3,permutation,dwt_cD3_std,0.005020018731443103,0.0038708217240696016,0.0006299200858778775,0.010420335460030673,27.0,22.282279955157193,6,65,5,5,10
binary,M3,permutation,chroma_01_mean,0.004871166784887962,0.0035364056381470693,-0.0002194842492149962,0.008731244483671663,33.6,38.14839446162839,11,101,5,4,11
binary,M3,permutation,chroma_02_mean,0.004568988835883407,0.0035759209322667783,-0.0004955135931431154,0.008430420711974095,37.4,40.21566858825052,8,107,5,4,12
binary,M3,permutation,dwt_cD5_mean_abs,0.004247456184164084,0.004528850273294074,-0.00030058181926395644,0.009687779670313867,57.0,47.22287581247038,4,102,5,4,13
binary,M3,permutation,mfcc_12_std,0.00420017683732193,0.00453242721049097,-0.0038086097346843872,0.007254339511621089,36.8,50.296123111031136,5,126,5,4,14
binary,M3,permutation,time_iqr,0.004092604693759987,0.00382210525258445,0.0005391321920379278,0.009480110925572516,46.0,35.36240942017385,3,98,5,5,15
binary,M3,permutation,dwt_cD1_std,0.0040552646251737785,0.003999011982166821,-0.0001602755248091281,0.010411885848779057,40.2,31.515075757484702,10,86,5,4,16
binary,M3,permutation,dwt_cD5_std,0.004001171888339852,0.004489658811196185,-0.0012425040548784683,0.009715205404313098,50.0,46.027165891460236,8,112,5,4,17
binary,M3,permutation,mfcc_05_mean,0.003961751402626201,0.005298163231414395,-0.004678296649099545,0.009010797078437638,43.0,52.196743193421554,7,134,5,4,18
binary,M3,permutation,mfcc_02_mean,0.003873314932273682,0.00487185069057101,-0.00023456219867772353,0.012218299499852902,47.8,38.771123274932336,8,109,5,4,19
binary,M3,permutation,time_hjorth_mobility,0.003687407212487737,0.002989580177780915,-0.0010921099713740445,0.006439393939393934,42.0,40.82278775390039,13,114,5,4,20
binary,M4,permutation,time_zcr_mean,0.030145512114478835,0.003566615827092087,0.027205985965110025,0.03471609296852011,1.2,0.4472135954999579,1,2,5,5,1
