run,task,model_id,n_bins,bin,bin_low,bin_high,n_predictions,n_correct,n_incorrect,accuracy_in_bin,share_of_predictions,n_folds_pooled,n_classes
EXP-A1,binary,M1,20,0,0.0,0.05,0,0,0,,0.0,25,2
EXP-A1,binary,M1,20,1,0.05,0.1,0,0,0,,0.0,25,2
EXP-A1,binary,M1,20,2,0.1,0.15000000000000002,0,0,0,,0.0,25,2
EXP-A1,binary,M1,20,3,0.15000000000000002,0.2,0,0,0,,0.0,25,2
EXP-A1,binary,M1,20,4,0.2,0.25,0,0,0,,0.0,25,2
EXP-A1,binary,M1,20,5,0.25,0.30000000000000004,0,0,0,,0.0,25,2
EXP-A1,binary,M1,20,6,0.30000000000000004,0.35000000000000003,0,0,0,,0.0,25,2
EXP-A1,binary,M1,20,7,0.35000000000000003,0.4,0,0,0,,0.0,25,2
EXP-A1,binary,M1,20,8,0.4,0.45,0,0,0,,0.0,25,2
EXP-A1,binary,M1,20,9,0.45,0.5,0,0,0,,0.0,25,2
EXP-A1,binary,M1,20,10,0.5,0.55,502,231,271,0.4601593625498008,0.030987654320987653,25,2
EXP-A1,binary,M1,20,11,0.55,0.6000000000000001,513,276,237,0.5380116959064327,0.03166666666666667,25,2
EXP-A1,binary,M1,20,12,0.6000000000000001,0.65,510,281,229,0.5509803921568628,0.03148148148148148,25,2
EXP-A1,binary,M1,20,13,0.65,0.7000000000000001,524,286,238,0.5458015267175572,0.03234567901234568,25,2
EXP-A1,binary,M1,20,14,0.7000000000000001,0.75,606,367,239,0.6056105610561056,0.03740740740740741,25,2
EXP-A1,binary,M1,20,15,0.75,0.8,693,455,238,0.6565656565656566,0.042777777777777776,25,2
EXP-A1,binary,M1,20,16,0.8,0.8500000000000001,756,506,250,0.6693121693121693,0.04666666666666667,25,2
EXP-A1,binary,M1,20,17,0.8500000000000001,0.9,1041,773,268,0.7425552353506244,0.06425925925925927,25,2
EXP-A1,binary,M1,20,18,0.9,0.9500000000000001,1601,1314,287,0.820737039350406,0.09882716049382716,25,2
EXP-A1,binary,M1,20,19,0.9500000000000001,1.0,9454,9118,336,0.9644594880473873,0.5835802469135802,25,2
EXP-A1,binary,M3,20,0,0.0,0.05,0,0,0,,0.0,25,2
EXP-A1,binary,M3,20,1,0.05,0.1,0,0,0,,0.0,25,2
EXP-A1,binary,M3,20,2,0.1,0.15000000000000002,0,0,0,,0.0,25,2
EXP-A1,binary,M3,20,3,0.15000000000000002,0.2,0,0,0,,0.0,25,2
EXP-A1,binary,M3,20,4,0.2,0.25,0,0,0,,0.0,25,2
EXP-A1,binary,M3,20,5,0.25,0.30000000000000004,0,0,0,,0.0,25,2
EXP-A1,binary,M3,20,6,0.30000000000000004,0.35000000000000003,0,0,0,,0.0,25,2
EXP-A1,binary,M3,20,7,0.35000000000000003,0.4,0,0,0,,0.0,25,2
EXP-A1,binary,M3,20,8,0.4,0.45,0,0,0,,0.0,25,2
EXP-A1,binary,M3,20,9,0.45,0.5,0,0,0,,0.0,25,2
EXP-A1,binary,M3,20,10,0.5,0.55,827,445,382,0.5380894800483675,0.051049382716049384,25,2
