fact_id,value_as_written,value_full_precision,source_file,selector
final_model,M1,M1,outputs/06_binary_results/final_model_selection.csv,first of model_id where all rows
D1_name,PhysioNet 2016,PhysioNet 2016,outputs/01_dataset_audit/T01_dataset_inventory.csv,value of dataset_name where dataset_source=D1
D1_records,"3,240",3240,outputs/01_dataset_audit/T01_dataset_inventory.csv,value of usable_files where dataset_source=D1
D1_subjects,857,857,outputs/01_dataset_audit/T01_dataset_inventory.csv,value of n_subjects where dataset_source=D1
D2_name,PASCAL set_a,PASCAL set_a,outputs/01_dataset_audit/T01_dataset_inventory.csv,value of dataset_name where dataset_source=D2
D2_records,124,124,outputs/01_dataset_audit/T01_dataset_inventory.csv,value of usable_files where dataset_source=D2
D2_subjects,123,123,outputs/01_dataset_audit/T01_dataset_inventory.csv,value of n_subjects where dataset_source=D2
D3_name,PASCAL set_b,PASCAL set_b,outputs/01_dataset_audit/T01_dataset_inventory.csv,value of dataset_name where dataset_source=D3
D3_records,461,461,outputs/01_dataset_audit/T01_dataset_inventory.csv,value of usable_files where dataset_source=D3
D3_subjects,165,165,outputs/01_dataset_audit/T01_dataset_inventory.csv,value of n_subjects where dataset_source=D3
D4_name,CirCor 2022,CirCor 2022,outputs/01_dataset_audit/T01_dataset_inventory.csv,value of dataset_name where dataset_source=D4
D4_records,"3,163",3163,outputs/01_dataset_audit/T01_dataset_inventory.csv,value of usable_files where dataset_source=D4
D4_subjects,942,942,outputs/01_dataset_audit/T01_dataset_inventory.csv,value of n_subjects where dataset_source=D4
D1_abnormal_share,0.205,0.205247,outputs/01_dataset_audit/T02_class_distribution_and_imbalance_ratio.csv,"value of share where dataset_source=D1, task=binary, class=abnormal"
n_features,138,138,outputs/03_features/T05_feature_inventory_and_counts.csv,sum of counted_features where all rows
n_families,6,6,outputs/03_features/T05_feature_inventory_and_counts.csv,count of family where all rows
final_n_folds,25,25,outputs/06_binary_results/T08_physionet_individual_model_comparison.csv,"value of n_folds where run=EXP-A2, model_id=M1"
final_sensitivity_mean,0.865,0.8648233891627352,outputs/06_binary_results/T08_physionet_individual_model_comparison.csv,"value of sensitivity_mean where run=EXP-A2, model_id=M1"
final_sensitivity_sd,0.045,0.0446049465330146,outputs/06_binary_results/T08_physionet_individual_model_comparison.csv,"value of sensitivity_sd where run=EXP-A2, model_id=M1"
final_specificity_mean,0.829,0.8287854063424053,outputs/06_binary_results/T08_physionet_individual_model_comparison.csv,"value of specificity_mean where run=EXP-A2, model_id=M1"
final_balanced_accuracy_mean,0.847,0.8468043977525701,outputs/06_binary_results/T08_physionet_individual_model_comparison.csv,"value of balanced_accuracy_mean where run=EXP-A2, model_id=M1"
final_roc_auc_mean,0.921,0.9212095305753734,outputs/06_binary_results/T08_physionet_individual_model_comparison.csv,"value of roc_auc_mean where run=EXP-A2, model_id=M1"
m6_n_folds,25,25,outputs/06_binary_results/T08_physionet_individual_model_comparison.csv,"value of n_folds where run=EXP-A2, model_id=M6"
m6_sensitivity_mean,0.862,0.8615469513693752,outputs/06_binary_results/T08_physionet_individual_model_comparison.csv,"value of sensitivity_mean where run=EXP-A2, model_id=M6"
m6_sensitivity_sd,0.067,0.0669761076003219,outputs/06_binary_results/T08_physionet_individual_model_comparison.csv,"value of sensitivity_sd where run=EXP-A2, model_id=M6"
m6_specificity_mean,0.850,0.8501793885246874,outputs/06_binary_results/T08_physionet_individual_model_comparison.csv,"value of specificity_mean where run=EXP-A2, model_id=M6"
m6_balanced_accuracy_mean,0.856,0.8558631699470313,outputs/06_binary_results/T08_physionet_individual_model_comparison.csv,"value of balanced_accuracy_mean where run=EXP-A2, model_id=M6"
m6_roc_auc_mean,0.938,0.938400689122729,outputs/06_binary_results/T08_physionet_individual_model_comparison.csv,"value of roc_auc_mean where run=EXP-A2, model_id=M6"
