dataset_source,dataset_name,bin_low_sec,bin_high_sec,n_records
D1,PhysioNet 2016,0.0,2.0,0
D1,PhysioNet 2016,2.0,4.0,0
D1,PhysioNet 2016,4.0,6.0,1
D1,PhysioNet 2016,6.0,8.0,17
D1,PhysioNet 2016,8.0,10.0,589
D1,PhysioNet 2016,10.0,12.0,134
D1,PhysioNet 2016,12.0,14.0,150
D1,PhysioNet 2016,14.0,16.0,154
D1,PhysioNet 2016,16.0,18.0,206
D1,PhysioNet 2016,18.0,20.0,244
D1,PhysioNet 2016,20.0,22.0,278
D1,PhysioNet 2016,22.0,24.0,227
D1,PhysioNet 2016,24.0,26.0,151
D1,PhysioNet 2016,26.0,28.0,134
D1,PhysioNet 2016,28.0,30.0,102
D1,PhysioNet 2016,30.0,40.0,681
D1,PhysioNet 2016,40.0,50.0,99
D1,PhysioNet 2016,50.0,60.0,32
D1,PhysioNet 2016,60.0,80.0,22
D1,PhysioNet 2016,80.0,125.0,19
D2,PASCAL set_a,0.0,2.0,4
D2,PASCAL set_a,2.0,4.0,2
D2,PASCAL set_a,4.0,6.0,6
D2,PASCAL set_a,6.0,8.0,42
D2,PASCAL set_a,8.0,10.0,70
D2,PASCAL set_a,10.0,12.0,0
D2,PASCAL set_a,12.0,14.0,0
D2,PASCAL set_a,14.0,16.0,0
D2,PASCAL set_a,16.0,18.0,0
D2,PASCAL set_a,18.0,20.0,0
D2,PASCAL set_a,20.0,22.0,0
D2,PASCAL set_a,22.0,24.0,0
D2,PASCAL set_a,24.0,26.0,0
D2,PASCAL set_a,26.0,28.0,0
D2,PASCAL set_a,28.0,30.0,0
D2,PASCAL set_a,30.0,40.0,0
D2,PASCAL set_a,40.0,50.0,0
D2,PASCAL set_a,50.0,60.0,0
D2,PASCAL set_a,60.0,80.0,0
D2,PASCAL set_a,80.0,125.0,0
D3,PASCAL set_b,0.0,2.0,54
D3,PASCAL set_b,2.0,4.0,121
D3,PASCAL set_b,4.0,6.0,91
D3,PASCAL set_b,6.0,8.0,45
D3,PASCAL set_b,8.0,10.0,48
D3,PASCAL set_b,10.0,12.0,43
D3,PASCAL set_b,12.0,14.0,30
D3,PASCAL set_b,14.0,16.0,14
D3,PASCAL set_b,16.0,18.0,7
D3,PASCAL set_b,18.0,20.0,3
D3,PASCAL set_b,20.0,22.0,1
D3,PASCAL set_b,22.0,24.0,2
D3,PASCAL set_b,24.0,26.0,1
D3,PASCAL set_b,26.0,28.0,1
D3,PASCAL set_b,28.0,30.0,0
D3,PASCAL set_b,30.0,40.0,0
D3,PASCAL set_b,40.0,50.0,0
D3,PASCAL set_b,50.0,60.0,0
D3,PASCAL set_b,60.0,80.0,0
D3,PASCAL set_b,80.0,125.0,0
D4,CirCor 2022,0.0,2.0,0
D4,CirCor 2022,2.0,4.0,0
D4,CirCor 2022,4.0,6.0,4
D4,CirCor 2022,6.0,8.0,28
D4,CirCor 2022,8.0,10.0,83
D4,CirCor 2022,10.0,12.0,131
D4,CirCor 2022,12.0,14.0,135
D4,CirCor 2022,14.0,16.0,169
D4,CirCor 2022,16.0,18.0,160
D4,CirCor 2022,18.0,20.0,382
D4,CirCor 2022,20.0,22.0,596
D4,CirCor 2022,22.0,24.0,211
D4,CirCor 2022,24.0,26.0,118
D4,CirCor 2022,26.0,28.0,123
D4,CirCor 2022,28.0,30.0,405
D4,CirCor 2022,30.0,40.0,592
D4,CirCor 2022,40.0,50.0,17
D4,CirCor 2022,50.0,60.0,6
D4,CirCor 2022,60.0,80.0,3
D4,CirCor 2022,80.0,125.0,0
