task,run,model_id,true_index,true_class,pred_index,pred_class,count_repeat0,count_all_folds,row_share_all_folds,n_folds_repeat0,n_folds_all
pascal_b,EXP-B2,M1,0,normal,0,normal,194,194,0.60625,5,5
pascal_b,EXP-B2,M1,0,normal,1,murmur,39,39,0.121875,5,5
pascal_b,EXP-B2,M1,0,normal,2,extrastole,87,87,0.271875,5,5
pascal_b,EXP-B2,M1,1,murmur,0,normal,29,29,0.30526315789473685,5,5
pascal_b,EXP-B2,M1,1,murmur,1,murmur,53,53,0.5578947368421052,5,5
pascal_b,EXP-B2,M1,1,murmur,2,extrastole,13,13,0.1368421052631579,5,5
pascal_b,EXP-B2,M1,2,extrastole,0,normal,29,29,0.6304347826086957,5,5
pascal_b,EXP-B2,M1,2,extrastole,1,murmur,3,3,0.06521739130434782,5,5
pascal_b,EXP-B2,M1,2,extrastole,2,extrastole,14,14,0.30434782608695654,5,5
pascal_b,EXP-B2,M6,0,normal,0,normal,318,318,0.99375,5,5
pascal_b,EXP-B2,M6,0,normal,1,murmur,2,2,0.00625,5,5
pascal_b,EXP-B2,M6,0,normal,2,extrastole,0,0,0.0,5,5
pascal_b,EXP-B2,M6,1,murmur,0,normal,69,69,0.7263157894736842,5,5
pascal_b,EXP-B2,M6,1,murmur,1,murmur,26,26,0.2736842105263158,5,5
pascal_b,EXP-B2,M6,1,murmur,2,extrastole,0,0,0.0,5,5
pascal_b,EXP-B2,M6,2,extrastole,0,normal,46,46,1.0,5,5
pascal_b,EXP-B2,M6,2,extrastole,1,murmur,0,0,0.0,5,5
pascal_b,EXP-B2,M6,2,extrastole,2,extrastole,0,0,0.0,5,5
