task,model_id,kind,family,n_features,total_importance_mean,total_importance_sd,share_of_positive_mean,share_of_positive_sd,n_folds,n_folds_net_negative,rank
binary,M1,permutation,time,24,0.351719177351,0.09511329730078379,0.3509194731789032,0.04285681853649561,5,0,1
binary,M1,permutation,dwt,24,0.22811317087808866,0.07502984632616548,0.25216227789201706,0.04639219939771694,5,0,2
binary,M1,permutation,frequency,22,0.14085274358930225,0.06164732809110384,0.1609122610118283,0.0347134946227344,5,0,3
binary,M1,permutation,mfcc,39,0.08381086660316031,0.13996156794474326,0.1371154526463343,0.03897576482483555,5,2,4
binary,M1,permutation,envelope,5,0.02507427378157816,0.022317949473074597,0.03090286753110384,0.011398358605482125,5,1,5
binary,M1,permutation,chroma,24,0.022635127253594005,0.11803450340161792,0.06798766773981334,0.03917520621756059,5,2,6
binary,M3,permutation,dwt,24,0.07737401974691548,0.05144362454238661,0.23271949753580104,0.04635185631573419,5,0,1
binary,M3,permutation,mfcc,39,0.07582500727844452,0.0646233102646872,0.2966423528668714,0.025730804481761557,5,0,2
binary,M3,permutation,chroma,24,0.053893153591180167,0.0345114611237911,0.162525253340695,0.04212581806781498,5,0,3
binary,M3,permutation,time,24,0.045759125436138304,0.03643266056190925,0.1623665715660636,0.05735582942516735,5,0,4
binary,M3,permutation,frequency,22,0.03410298884138787,0.03097385566828197,0.12271033595921924,0.039662426872535635,5,1,5
binary,M3,permutation,envelope,5,0.0058563096015438075,0.00747918918699993,0.023035988731349818,0.005691396135456308,5,1,6
binary,M4,impurity,dwt,24,0.29186907030378595,0.007519266705841909,0.29186907030378595,0.007519266705841947,5,0,1
binary,M4,impurity,mfcc,39,0.27224824100167655,0.0084363397843553,0.27224824100167655,0.008436339784355276,5,0,2
binary,M4,impurity,time,24,0.20326794933652698,0.006101916404753648,0.20326794933652703,0.006101916404753664,5,0,3
binary,M4,impurity,frequency,22,0.11828178543732168,0.0058051122582827895,0.11828178543732168,0.005805112258282786,5,0,4
binary,M4,impurity,chroma,24,0.0899387921379729,0.0018596905107617046,0.08993879213797291,0.0018596905107616977,5,0,5
binary,M4,impurity,envelope,5,0.02439416178271589,0.001255699154656831,0.024394161782715893,0.0012556991546568302,5,0,6
binary,M4,permutation,dwt,24,0.034874809707716524,0.01799382265991393,0.27397083460632354,0.05081769376569071,5,0,1
binary,M4,permutation,mfcc,39,0.02994168572648599,0.02299702454702208,0.2705515917899608,0.014875829807025115,5,0,2
binary,M4,permutation,time,24,0.027252717664617683,0.015398630308635449,0.2574236700887148,0.08050934412152583,5,0,3
binary,M4,permutation,frequency,22,0.008007996660958815,0.030283419181481558,0.10863755389506133,0.061999497922288455,5,2,4
binary,M4,permutation,chroma,24,0.0007092171316933508,0.020208789401419326,0.0781176965131747,0.03683121417332565,5,3,5
binary,M4,permutation,envelope,5,-0.0033639132680318463,0.0064817536434329005,0.011298653106764764,0.013249129938178407,5,4,6
binary,M5,impurity,mfcc,39,0.3748843523673572,0.03268433234033474,0.3748843523673571,0.03268433234033467,5,0,1
binary,M5,impurity,dwt,24,0.32720322460505863,0.04138838776682149,0.3272032246050586,0.04138838776682148,5,0,2
binary,M5,impurity,time,24,0.18172868926093272,0.0511048682777671,0.18172868926093272,0.05110486827776713,5,0,3
binary,M5,impurity,frequency,22,0.05858474819840569,0.02480094177374754,0.05858474819840568,0.024800941773747538,5,0,4
binary,M5,impurity,chroma,24,0.047572777543857026,0.0066657225474753765,0.04757277754385702,0.0066657225474753695,5,0,5
binary,M5,impurity,envelope,5,0.01002620802438889,0.0023660438835538364,0.01002620802438889,0.0023660438835538377,5,0,6
binary,M5,permutation,dwt,24,0.04290671676375648,0.02239606527107274,0.2765319519940506,0.0417620696767047,5,0,1
binary,M5,permutation,mfcc,39,0.04243599691221277,0.046798400280696685,0.3384196182074646,0.07080409162791747,5,0,2
binary,M5,permutation,time,24,0.022188806604079313,0.02296709797477177,0.2049695971321083,0.039970544345075375,5,1,3
binary,M5,permutation,frequency,22,0.004810338905843957,0.02243247481696529,0.08154846628844281,0.04716840779669361,5,2,4
binary,M5,permutation,chroma,24,0.001744186242222798,0.006476336581019881,0.08362835414331331,0.06192779665364477,5,3,5
