search,label,family,objective,model_id,step,best_so_far
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M1,1,0.842119
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M1,2,0.842119
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M1,3,0.848634
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M1,4,0.848634
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M1,5,0.848634
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M1,6,0.848634
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M1,7,0.848634
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M1,8,0.848634
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M1,9,0.848634
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M1,10,0.848634
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M1,11,0.853236
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M1,12,0.853236
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M1,13,0.853236
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M1,14,0.853236
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M1,15,0.853236
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M1,16,0.853236
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M1,17,0.853236
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M1,18,0.853236
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M1,19,0.853236
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M1,20,0.853236
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M1,21,0.853236
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M1,22,0.853236
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M1,23,0.853236
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M1,24,0.853236
