run,model_id,metric,n_folds,n_folds_defined,mean,sd,min,max
EXP-A1,M1,sensitivity,25,25,0.8479933187885698,0.039651751739522886,0.7786259541984732,0.916030534351145
EXP-A1,M1,specificity,25,25,0.8378530531876638,0.036437864841969474,0.7707129094412332,0.9005847953216374
EXP-A1,M1,balanced_accuracy,25,25,0.8429231859881168,0.026269482333133316,0.7803471609296853,0.8837965171755725
EXP-A1,M1,f1,25,25,0.6867562609818505,0.042513708411701046,0.5892351274787535,0.740484429065744
EXP-A1,M1,roc_auc,25,25,0.9221754145146952,0.019219626715802365,0.8776993233303914,0.9472493787479724
EXP-A1,M1,accuracy,25,25,0.8399528099206428,0.029711112128121765,0.7758887171561051,0.8835403726708074
EXP-A1,M3,sensitivity,25,25,0.6698449028753386,0.06880737110743863,0.5114503816793893,0.8091603053435115
EXP-A1,M3,specificity,25,25,0.9303228738736918,0.027051946775737128,0.882466281310212,0.9688109161793372
EXP-A1,M3,balanced_accuracy,25,25,0.8000838883745152,0.036461651068808644,0.737362915346041,0.8528223401717557
EXP-A1,M3,f1,25,25,0.6908738481927146,0.05766357453401893,0.5789473684210527,0.768595041322314
EXP-A1,M3,roc_auc,25,25,0.924078273935299,0.023586273628884238,0.8706158951237296,0.9539008675207952
EXP-A1,M3,accuracy,25,25,0.8768856610276579,0.025075639105622563,0.8260869565217391,0.9130434782608696
EXP-A1,M4,sensitivity,25,25,0.7475470301606779,0.06326348603349237,0.5801526717557252,0.8778625954198473
EXP-A1,M4,specificity,25,25,0.9366196855524065,0.029321936595700607,0.8757281553398059,0.9805068226120858
EXP-A1,M4,balanced_accuracy,25,25,0.8420833578565423,0.032945933529836234,0.7803297471839055,0.8989816913167938
EXP-A1,M4,f1,25,25,0.7510565386260639,0.052708521418613076,0.6567164179104478,0.8270676691729323
EXP-A1,M4,roc_auc,25,25,0.9418026774787451,0.02023584548443079,0.9006325389820535,0.9698004553368152
EXP-A1,M4,accuracy,25,25,0.8978274239459105,0.024960761293280592,0.848531684698609,0.9297709923664124
EXP-A1,M5,sensitivity,25,25,0.7979991249318708,0.05504045101131409,0.6946564885496184,0.9083969465648856
EXP-A1,M5,specificity,25,25,0.9016218568785286,0.03625527933305099,0.8233009708737864,0.95906432748538
EXP-A1,M5,balanced_accuracy,25,25,0.8498104909051996,0.03014766456720083,0.7885213457732542,0.8967601979961832
EXP-A1,M5,f1,25,25,0.7344011991722188,0.050514416345078285,0.6291390728476821,0.813953488372093
EXP-A1,M5,roc_auc,25,25,0.9357444658070613,0.02186977716088595,0.8834575837388212,0.9642622853053436
EXP-A1,M5,accuracy,25,25,0.8803812904490006,0.02901954442513568,0.8176197836166924,0.9254658385093169
EXP-A1,M6,sensitivity,25,25,0.8790705821614024,0.061241829532217164,0.7480916030534351,1.0
EXP-A1,M6,specificity,25,25,0.8384425376679471,0.04791851275770815,0.7602339181286549,0.9395711500974658
EXP-A1,M6,balanced_accuracy,25,25,0.8587565599146746,0.02545854494291062,0.7960730919750607,0.893667255075022
EXP-A1,M6,f1,25,25,0.7044382221713745,0.04395562766884186,0.6233062330623306,0.7955390334572491
EXP-A1,M6,roc_auc,25,25,0.9395334531543368,0.021954085056345145,0.8962992723539128,0.9687811556031724
