metric,level,rule,n_units,in_domain_exp,in_domain_mean,in_domain_n_folds,external_value,external_n_folds,delta,relative_drop
sensitivity,patient,any_present,942,EXP-A2,0.8648233891627352,25,0.6535087719298246,1,-0.21131461723291056,0.24434424401667884
specificity,patient,any_present,942,EXP-A2,0.8287854063424053,25,0.3888888888888889,1,-0.4398965174535164,0.5307725185399526
balanced_accuracy,patient,any_present,942,EXP-A2,0.8468043977525701,25,0.5211988304093568,1,-0.32560556734321333,0.38451095460459905
roc_auc,patient,any_present,942,EXP-A2,0.9212095305753734,25,,1,,
accuracy,patient,any_present,942,EXP-A2,0.8362042167620645,25,0.5169851380042463,1,-0.3192190787578182,0.38174775056013566
f1,patient,any_present,942,EXP-A2,0.6867062637528286,25,0.5670789724072313,1,-0.11962729134559735,0.17420445634475196
sensitivity,patient,max,942,EXP-A2,0.8648233891627352,25,0.6535087719298246,1,-0.21131461723291056,0.24434424401667884
specificity,patient,max,942,EXP-A2,0.8287854063424053,25,0.3888888888888889,1,-0.4398965174535164,0.5307725185399526
balanced_accuracy,patient,max,942,EXP-A2,0.8468043977525701,25,0.5211988304093568,1,-0.32560556734321333,0.38451095460459905
roc_auc,patient,max,942,EXP-A2,0.9212095305753734,25,,1,,
accuracy,patient,max,942,EXP-A2,0.8362042167620645,25,0.5169851380042463,1,-0.3192190787578182,0.38174775056013566
f1,patient,max,942,EXP-A2,0.6867062637528286,25,0.5670789724072313,1,-0.11962729134559735,0.17420445634475196
sensitivity,patient,mean,942,EXP-A2,0.8648233891627352,25,0.32894736842105265,1,-0.5358760207416825,0.6196363644379256
specificity,patient,mean,942,EXP-A2,0.8287854063424053,25,0.7325102880658436,1,-0.09627511827656166,0.1161641089958894
balanced_accuracy,patient,mean,942,EXP-A2,0.8468043977525701,25,0.5307288282434481,1,-0.31607556950912197,0.3732568824016392
roc_auc,patient,mean,942,EXP-A2,0.9212095305753734,25,,1,,
accuracy,patient,mean,942,EXP-A2,0.8362042167620645,25,0.5371549893842887,1,-0.29904922737777573,0.3576270262493401
f1,patient,mean,942,EXP-A2,0.6867062637528286,25,0.4076086956521739,1,-0.2790975681006547,0.40642933206316645
sensitivity,recording,none,3163,EXP-A2,0.8648233891627352,25,0.37818419333768777,1,-0.4866391958250474,0.5627035553422987
specificity,recording,none,3163,EXP-A2,0.8287854063424053,25,0.6734068627450981,1,-0.15537854359730718,0.1874774126188148
balanced_accuracy,recording,none,3163,EXP-A2,0.8468043977525701,25,0.525795528041393,1,-0.32100886971117715,0.3790826672170561
roc_auc,recording,none,3163,EXP-A2,0.9212095305753734,25,0.5358802077329953,1,-0.3853293228423781,0.418286296497288
accuracy,recording,none,3163,EXP-A2,0.8362042167620645,25,0.5305090104331331,1,-0.3056952063289313,0.36557482036223043
f1,recording,none,3163,EXP-A2,0.6867062637528286,25,0.43813847900113506,1,-0.24856778475169355,0.3619710462422146
