analysis,run,task,model_id,group,n_records_corpus,reported,n_folds,n_units_mean,median_duration_sec,min_duration_sec,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd,balanced_accuracy_mean,balanced_accuracy_sd,roc_auc_mean,roc_auc_sd,macro_f1_mean,macro_f1_sd,accuracy_mean,accuracy_sd
observational_bands,EXP-A2,binary,M1,long,1744,True,25,348.8,29.656,20.001,0.9439656554447271,0.022202291746339517,0.8500956750131534,0.062121485998257064,0.8970306652289404,0.03363591633125455,0.9447912462396182,0.026452008126489037,,,0.8740185074710037,0.04800768042618898
observational_bands,EXP-A2,binary,M1,medium,1496,True,25,299.2,12.0475,5.3055,0.7086617251566022,0.11585043476459442,0.8093876578496864,0.05098300174971717,0.7590246915031443,0.05374621733858472,0.8645364849579102,0.038672270731840964,,,0.7933922581150656,0.04079907572620207
observational_bands,EXP-A2,binary,M3,long,1744,True,25,348.8,29.656,20.001,0.8384038004741753,0.04065328837207015,0.893201404503111,0.044903341085424486,0.8658026024886432,0.03242882775431425,0.9375354255122464,0.025920884738137747,,,0.878987901048182,0.036154799271995386
observational_bands,EXP-A2,binary,M3,medium,1496,True,25,299.2,12.0475,5.3055,0.30644242492198653,0.10944119799936933,0.9734934749391393,0.010633139652813818,0.6399679499305629,0.05434357154592683,0.8701888487653765,0.0371077580025752,,,0.878528245125902,0.02625428430021996
observational_bands,EXP-A2,binary,M4,long,1744,True,25,348.8,29.656,20.001,0.9350979549063052,0.03226775843203566,0.8647976435654262,0.057423170949380584,0.8999477992358657,0.03661896297363124,0.9527251083562633,0.026697224749219144,,,0.8826586972213891,0.04718720279910673
observational_bands,EXP-A2,binary,M4,medium,1496,True,25,299.2,12.0475,5.3055,0.5887967639438156,0.13083076757723433,0.9081017141405451,0.04832964969318083,0.7484492390421803,0.0629743522213407,0.8862585226722234,0.03936917816089478,,,0.8612552789989156,0.03991766772855897
observational_bands,EXP-A2,binary,M5,long,1744,True,25,348.8,29.656,20.001,0.9162101536570673,0.03279119002659625,0.875597699836768,0.06613593124945624,0.8959039267469175,0.040430692401369366,0.951490579819488,0.027594711512805663,,,0.8859298470731036,0.05279281741168234
observational_bands,EXP-A2,binary,M5,medium,1496,True,25,299.2,12.0475,5.3055,0.6104317031378569,0.14611457181070103,0.8886717040625443,0.06747529435471057,0.7495517036002005,0.058511479415080066,0.8871196885903728,0.037066129426673096,,,0.8466873373312899,0.04679627742803449
observational_bands,EXP-A2,binary,M6,long,1744,True,25,348.8,29.656,20.001,0.9699668627809288,0.02691247694758295,0.832153975847443,0.06362125575865776,0.9010604193141859,0.03188857167284835,0.9505192381192732,0.027506017628820587,,,0.8676787034450407,0.048114699764965844
observational_bands,EXP-A2,binary,M6,medium,1496,True,25,299.2,12.0475,5.3055,0.6454075632920224,0.15598228296219446,0.8705358971645529,0.07104532316858549,0.7579717302282877,0.06031460214587976,0.8909217186183281,0.03687919068739628,,,0.8367148150702228,0.04908817319706321
observational_bands,EXP-A2,binary,M7,long,1744,True,25,348.8,29.656,20.001,0.9699668627809288,0.02691247694758295,0.8317385939583768,0.06416157264612375,0.9008527283696529,0.03224789174904661,0.9505458153612006,0.027474709445583587,,,0.8673675464564897,0.04857444552714881
observational_bands,EXP-A2,binary,M7,medium,1496,True,25,299.2,12.0475,5.3055,0.6457144686628663,0.1563649146652635,0.8698270443456084,0.07063513081859171,0.7577707565042374,0.060402873859396466,0.8907907931031842,0.03679969220694662,,,0.836111015884334,0.048671518869286765
