run,task,model_id,location,n_records_corpus,reported,n_folds,n_units_mean,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd,accuracy_mean,accuracy_sd,exclusion_reason
EXP-C1-three_class,circor_murmur,M3,AV,800,True,5,160.0,,,,,0.41461034256631946,0.020573759865417058,0.4215706394176012,0.026253863132138018,0.7886586531349055,0.019550574147721374,
EXP-C1-three_class,circor_murmur,M3,MV,861,True,5,172.2,,,,,0.4060555574476029,0.011100506045932877,0.40872825250615064,0.016061477179799725,0.7721315599810182,0.015379871495378936,
EXP-C1-three_class,circor_murmur,M3,PV,766,True,5,153.2,,,,,0.44401294283559556,0.039222504449230505,0.4599152625562528,0.048301177582039945,0.8199440829655359,0.023239330354631917,
EXP-C1-three_class,circor_murmur,M3,Phc,4,False,3,1.3333333333333333,,,,,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,"excluded: 4 recording(s) in the whole corpus, under one per fold -- a single record moves any rate by up to 1.0, so this is arithmetic noise, not a weak estimate"
EXP-C1-three_class,circor_murmur,M3,TV,732,True,5,146.4,,,,,0.399474794205273,0.04133129542089305,0.40326901157406425,0.05960271765694279,0.7980565639843455,0.03601550614099363,
EXP-C1-three_class,circor_murmur,M4,AV,800,True,5,160.0,,,,,0.541693367613106,0.0325260064032922,0.5058114361340861,0.03190316564161536,0.6939817894609743,0.02976349615629643,
EXP-C1-three_class,circor_murmur,M4,MV,861,True,5,172.2,,,,,0.5354823469880288,0.06678211671296173,0.5171200262763327,0.05117294596399732,0.714680684831003,0.05121406070959895,
EXP-C1-three_class,circor_murmur,M4,PV,766,True,5,153.2,,,,,0.5637541812000701,0.04001240609984094,0.5672740830223231,0.05818280960126715,0.7876340107495168,0.038621871773807985,
EXP-C1-three_class,circor_murmur,M4,Phc,4,False,3,1.3333333333333333,,,,,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,"excluded: 4 recording(s) in the whole corpus, under one per fold -- a single record moves any rate by up to 1.0, so this is arithmetic noise, not a weak estimate"
EXP-C1-three_class,circor_murmur,M4,TV,732,True,5,146.4,,,,,0.5227171618989013,0.0659415997692324,0.5293548618858835,0.061394787625855075,0.7842431191944379,0.02926761779531735,
EXP-C1-three_class,circor_murmur,M5,AV,800,True,5,160.0,,,,,0.5634449232354474,0.043428761431358154,0.5092370973425787,0.027536146522804318,0.6855268212152877,0.03337644985831522,
EXP-C1-three_class,circor_murmur,M5,MV,861,True,5,172.2,,,,,0.5101341030602394,0.035725836520999414,0.49061174466401536,0.038799434693882445,0.6901999005566559,0.060675702143869546,
EXP-C1-three_class,circor_murmur,M5,PV,766,True,5,153.2,,,,,0.5395196011077065,0.05984879542800267,0.5295838777632793,0.06142474475415577,0.7679470068940943,0.04358569468671349,
EXP-C1-three_class,circor_murmur,M5,Phc,4,False,3,1.3333333333333333,,,,,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,"excluded: 4 recording(s) in the whole corpus, under one per fold -- a single record moves any rate by up to 1.0, so this is arithmetic noise, not a weak estimate"
EXP-C1-three_class,circor_murmur,M5,TV,732,True,5,146.4,,,,,0.5579050973875466,0.06963016910269716,0.5569844373054227,0.06093906068117246,0.7812759044137246,0.024364463681703585,
EXP-C1-three_class,circor_murmur,M6,AV,800,True,5,160.0,,,,,0.4170549231215704,0.036596417767582046,0.42410107259784147,0.04543392361734624,0.7939927834248608,0.02020010925012042,
EXP-C1-three_class,circor_murmur,M6,MV,861,True,5,172.2,,,,,0.4029801143721598,0.016191620452513156,0.4041383995354894,0.022289885060256167,0.7709399529252146,0.017198101524639842,
EXP-C1-three_class,circor_murmur,M6,PV,766,True,5,153.2,,,,,0.4391307187225763,0.046767020283366365,0.45378021778335975,0.05868693884959278,0.8211577727863609,0.025825466623296593,
EXP-C1-three_class,circor_murmur,M6,Phc,4,False,3,1.3333333333333333,,,,,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,"excluded: 4 recording(s) in the whole corpus, under one per fold -- a single record moves any rate by up to 1.0, so this is arithmetic noise, not a weak estimate"
EXP-C1-three_class,circor_murmur,M6,TV,732,True,5,146.4,,,,,0.4131714876506701,0.035669165849600525,0.4213293607304946,0.048964176771474584,0.8089604255924323,0.02343323278417547,
EXP-C1-three_class,circor_murmur,M7,AV,800,True,5,160.0,,,,,0.46774664284864187,0.08095724480404491,0.4622830143298383,0.06922098729086708,0.7537411124000285,0.04614751646022959,
EXP-C1-three_class,circor_murmur,M7,MV,861,True,5,172.2,,,,,0.4413775944173672,0.04941063285157693,0.44707061750097277,0.05276023380142985,0.7467727474335728,0.03722210472857763,
EXP-C1-three_class,circor_murmur,M7,PV,766,True,5,153.2,,,,,0.5007814885267733,0.05739204994460863,0.5268470374628793,0.06517459261564096,0.8136624670149896,0.03947761518370991,
EXP-C1-three_class,circor_murmur,M7,Phc,4,False,3,1.3333333333333333,,,,,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,"excluded: 4 recording(s) in the whole corpus, under one per fold -- a single record moves any rate by up to 1.0, so this is arithmetic noise, not a weak estimate"
EXP-C1-three_class,circor_murmur,M7,TV,732,True,5,146.4,,,,,0.4200817880056701,0.04901879435107739,0.42588268537824414,0.060069755474848004,0.7848201732311761,0.04186063821470028,
EXP-C1-two_class,circor_murmur,M3,AV,755,True,5,151.0,0.21735910270671116,0.04566472592431324,0.9834008135015659,0.008227095619748478,0.6003799581041387,0.024330651149901805,,,0.8292218504211114,0.015078749602757272,
EXP-C1-two_class,circor_murmur,M3,MV,809,True,5,161.8,0.2570851370851371,0.0420220255538866,0.9889297917991101,0.007111961857907219,0.6230074644421235,0.021105908363895046,,,0.8330790965625958,0.01593446494901334,
EXP-C1-two_class,circor_murmur,M3,PV,733,True,5,146.6,0.2901907469204466,0.09650533742646512,0.9949273047343263,0.0046333305478111105,0.6425590258273864,0.048397251018838044,,,0.8541429145567075,0.015903097763177255,
EXP-C1-two_class,circor_murmur,M3,Phc,4,False,3,1.3333333333333333,0.6666666666666666,0.5773502691896258,1.0,,0.8333333333333334,0.28867513459481287,,,1.0,0.0,"excluded: 4 recording(s) in the whole corpus, under one per fold -- a single record moves any rate by up to 1.0, so this is arithmetic noise, not a weak estimate"
EXP-C1-two_class,circor_murmur,M3,TV,706,True,5,141.2,0.21625615763546796,0.09772460426884344,0.9929342230429187,0.0073094643778138174,0.6045951903391934,0.052251829382884585,,,0.8358015510915319,0.023459595926780007,
EXP-C1-two_class,circor_murmur,M4,AV,755,True,5,151.0,0.4224898034853541,0.0975874063247924,0.8975954785752938,0.029961377633957634,0.660042641030324,0.050450664370053515,,,0.8016157069460774,0.02937042415840175,
EXP-C1-two_class,circor_murmur,M4,MV,809,True,5,161.8,0.3958874458874459,0.09992477633960142,0.9055191115702478,0.025071879215506576,0.6507032787288469,0.05647512158643734,,,0.7968067797402527,0.039185316661334915,
EXP-C1-two_class,circor_murmur,M4,PV,733,True,5,146.6,0.4907609277798377,0.15381235037447244,0.932117905905718,0.026542586321213268,0.7114394168427778,0.08168680679882066,,,0.843660155936018,0.03968127261631336,
EXP-C1-two_class,circor_murmur,M4,Phc,4,False,3,1.3333333333333333,0.6666666666666666,0.5773502691896258,1.0,,0.8333333333333334,0.28867513459481287,,,1.0,0.0,"excluded: 4 recording(s) in the whole corpus, under one per fold -- a single record moves any rate by up to 1.0, so this is arithmetic noise, not a weak estimate"
EXP-C1-two_class,circor_murmur,M4,TV,706,True,5,141.2,0.4123152709359606,0.106715215879013,0.9428508818188405,0.03189228478870261,0.6775830763774007,0.04335078201225424,,,0.8356573520365546,0.01917991839042865,
EXP-C1-two_class,circor_murmur,M5,AV,755,True,5,151.0,0.4230932517612162,0.13509488546805862,0.9035920255547772,0.03963149515493708,0.6633426386579968,0.05526830139097826,,,0.8066850528775827,0.023459397294328176,
EXP-C1-two_class,circor_murmur,M5,MV,809,True,5,161.8,0.38985569985569984,0.09280030237318265,0.9150989351557535,0.05001147615051199,0.6524773175057266,0.046443544864139034,,,0.8032642597493304,0.043387123552373084,
EXP-C1-two_class,circor_murmur,M5,PV,733,True,5,146.6,0.48522885510649694,0.09351937000195858,0.9203518131204556,0.04531637811662316,0.7027903341134762,0.04546873412082072,,,0.8326404629852906,0.03318681306086639,
EXP-C1-two_class,circor_murmur,M5,Phc,4,False,3,1.3333333333333333,0.6666666666666666,0.5773502691896258,1.0,,0.8333333333333334,0.28867513459481287,,,1.0,0.0,"excluded: 4 recording(s) in the whole corpus, under one per fold -- a single record moves any rate by up to 1.0, so this is arithmetic noise, not a weak estimate"
EXP-C1-two_class,circor_murmur,M5,TV,706,True,5,141.2,0.39039408866995073,0.13415168833641597,0.9377380638167331,0.04527957245266365,0.664066076243342,0.04838985159383421,,,0.8272528638044803,0.018236518558945966,
EXP-C1-two_class,circor_murmur,M6,AV,755,True,5,151.0,0.5714293659621802,0.10374218105174844,0.8093219090098728,0.06814863466984955,0.6903756374860264,0.0443439890125208,,,0.7618709376422068,0.047184170314353506,
EXP-C1-two_class,circor_murmur,M6,MV,809,True,5,161.8,0.48995670995671,0.08972032489401356,0.831719047997457,0.049906543409768384,0.6608378789770836,0.0525871686601034,,,0.7585652971090374,0.046992963939743504,
EXP-C1-two_class,circor_murmur,M6,PV,733,True,5,146.6,0.6253030115766489,0.05487896678111539,0.8657370186356228,0.06521469977579401,0.745520015106136,0.04497513495144451,,,0.8175628968732417,0.05353401719303379,
EXP-C1-two_class,circor_murmur,M6,Phc,4,False,3,1.3333333333333333,0.6666666666666666,0.5773502691896258,1.0,,0.8333333333333334,0.28867513459481287,,,1.0,0.0,"excluded: 4 recording(s) in the whole corpus, under one per fold -- a single record moves any rate by up to 1.0, so this is arithmetic noise, not a weak estimate"
EXP-C1-two_class,circor_murmur,M6,TV,706,True,5,141.2,0.5029556650246306,0.10200732299936777,0.8760123043221402,0.058017155708403885,0.6894839846733853,0.027496775551858015,,,0.8005797576545746,0.028954632468654214,
