source,category,level,n_predictions,n_records,n_positive,n_negative,n_positive_records,n_negative_records,n_fp,n_fn,n_errors,error_rate,false_negative_rate,false_positive_rate,mean_confidence_when_wrong,below_reporting_floor,fn_below_reporting_floor,fp_below_reporting_floor
EXP-A2 M1 (in-domain),confidence_band,0.50-0.60,1212,614,332,880,168,446,445,135,580,0.47854785478547857,0.4066265060240964,0.5056818181818182,0.5493779426258082,False,False,False
EXP-A2 M1 (in-domain),confidence_band,0.60-0.70,1287,775,366,921,205,570,418,95,513,0.3986013986013986,0.25956284153005466,0.4538545059717698,0.6508466997837031,False,False,False
EXP-A2 M1 (in-domain),confidence_band,0.70-0.80,1551,940,421,1130,252,688,458,81,539,0.3475177304964539,0.19239904988123516,0.40530973451327434,0.7501410588992391,False,False,False
EXP-A2 M1 (in-domain),confidence_band,0.80-0.90,2073,1121,638,1435,313,808,429,75,504,0.24312590448625182,0.11755485893416928,0.29895470383275263,0.8487025077554624,False,False,False
EXP-A2 M1 (in-domain),confidence_band,0.90-0.95,1774,989,515,1259,272,717,232,33,265,0.14937993235625704,0.06407766990291262,0.18427323272438442,0.9255363045827955,False,False,False
EXP-A2 M1 (in-domain),confidence_band,0.95-1.00,8303,2085,1053,7250,308,1777,223,30,253,0.030470914127423823,0.02849002849002849,0.030758620689655174,0.9779532228912495,False,False,False
EXP-A2 M1 (in-domain),diagnosis_class,AD,85,17,85,0,17,0,0,9,9,0.10588235294117647,0.10588235294117647,,0.7363579352441324,True,True,True
EXP-A2 M1 (in-domain),diagnosis_class,AS,60,12,60,0,12,0,0,3,3,0.05,0.05,,0.531781890749019,True,True,True
EXP-A2 M1 (in-domain),diagnosis_class,Benign,590,118,590,0,118,0,0,25,25,0.0423728813559322,0.0423728813559322,,0.6155497704336262,False,False,True
EXP-A2 M1 (in-domain),diagnosis_class,CAD,1435,287,1435,0,287,0,0,300,300,0.20905923344947736,0.20905923344947736,,0.7346688700484614,False,False,True
EXP-A2 M1 (in-domain),diagnosis_class,Controls,35,7,0,35,0,7,35,0,35,1.0,,1.0,0.9638993417767961,True,True,True
EXP-A2 M1 (in-domain),diagnosis_class,MPC,115,23,115,0,23,0,0,15,15,0.13043478260869565,0.13043478260869565,,0.6854314706934379,True,True,True
EXP-A2 M1 (in-domain),diagnosis_class,MR,60,12,60,0,12,0,0,2,2,0.03333333333333333,0.03333333333333333,,0.7826104199337037,True,True,True
EXP-A2 M1 (in-domain),diagnosis_class,MVP,670,134,670,0,134,0,0,41,41,0.06119402985074627,0.06119402985074627,,0.7326893991375883,False,False,True
EXP-A2 M1 (in-domain),diagnosis_class,Normal,12270,2454,0,12270,0,2454,2050,0,2050,0.16707416462917685,,0.16707416462917685,0.7468427140360141,False,True,False
EXP-A2 M1 (in-domain),diagnosis_class,Normal: MARS500,70,14,0,70,0,14,30,0,30,0.42857142857142855,,0.42857142857142855,0.7143836421775237,True,True,True
EXP-A2 M1 (in-domain),diagnosis_class,Normal: NHC,65,13,0,65,0,13,50,0,50,0.7692307692307693,,0.7692307692307693,0.7967553235857836,True,True,True
EXP-A2 M1 (in-domain),diagnosis_class,Pathologic,310,62,310,0,62,0,0,54,54,0.17419354838709677,0.17419354838709677,,0.6385208521582639,False,False,True
EXP-A2 M1 (in-domain),duration_band,long,8720,1744,2270,6450,454,1290,981,129,1110,0.12729357798165136,0.05682819383259912,0.15209302325581395,0.7705438744287805,False,False,False
EXP-A2 M1 (in-domain),duration_band,medium,7480,1496,1055,6425,211,1285,1224,320,1544,0.20641711229946524,0.3033175355450237,0.1905058365758755,0.7266717900631035,False,False,False
EXP-A2 M1 (in-domain),noise_flag,clean (PP-08),13890,2778,2960,10930,592,2186,1443,295,1738,0.12512598992080634,0.09966216216216216,0.13202195791399818,0.754011525107268,False,False,False
EXP-A2 M1 (in-domain),noise_flag,noisy (PP-08),2310,462,365,1945,73,389,762,154,916,0.3965367965367965,0.42191780821917807,0.39177377892030846,0.727961696328544,False,False,False
EXP-A2 M1 (in-domain),subset,training-a,2045,409,1460,585,292,117,504,90,594,0.2904645476772616,0.06164383561643835,0.8615384615384616,0.8136011202752801,False,False,False
EXP-A2 M1 (in-domain),subset,training-b,2450,490,520,1930,104,386,1016,270,1286,0.5248979591836734,0.5192307692307693,0.5264248704663212,0.7274066064957642,False,False,False
EXP-A2 M1 (in-domain),subset,training-c,155,31,120,35,24,7,35,5,40,0.25806451612903225,0.041666666666666664,1.0,0.9224260868575582,False,True,True
EXP-A2 M1 (in-domain),subset,training-d,275,55,140,135,28,27,80,25,105,0.38181818181818183,0.17857142857142858,0.5925925925925926,0.7397301225682344,False,True,True
EXP-A2 M1 (in-domain),subset,training-e,10705,2141,915,9790,183,1958,363,30,393,0.03671181690798692,0.03278688524590164,0.03707865168539326,0.7005557567492777,False,False,False
EXP-A2 M1 (in-domain),subset,training-f,570,114,170,400,34,80,207,29,236,0.41403508771929826,0.17058823529411765,0.5175,0.7147197641096451,False,False,False
EXP-D1 M1 (external),confidence_band,0.50-0.60,365,365,174,191,174,191,75,92,167,0.4575342465753425,0.5287356321839081,0.39267015706806285,0.5510957354173505,False,False,False
EXP-D1 M1 (external),confidence_band,0.60-0.70,395,395,201,194,201,194,92,107,199,0.5037974683544304,0.5323383084577115,0.4742268041237113,0.6496831319859426,False,False,False
EXP-D1 M1 (external),confidence_band,0.70-0.80,431,431,215,216,215,216,99,123,222,0.5150812064965197,0.5720930232558139,0.4583333333333333,0.7501740832521623,False,False,False
EXP-D1 M1 (external),confidence_band,0.80-0.90,567,567,282,285,282,285,95,165,260,0.4585537918871252,0.5851063829787234,0.3333333333333333,0.8530119146432924,False,False,False
EXP-D1 M1 (external),confidence_band,0.90-0.95,410,410,191,219,191,219,78,112,190,0.4634146341463415,0.5863874345549738,0.3561643835616438,0.9270770587855558,False,False,False
EXP-D1 M1 (external),confidence_band,0.95-1.00,995,995,468,527,468,527,94,353,447,0.4492462311557789,0.7542735042735043,0.17836812144212524,0.9827953672475427,False,False,False
EXP-D1 M1 (external),duration_band,long,2054,2054,986,1068,986,1068,344,640,984,0.4790652385589094,0.6490872210953347,0.32209737827715357,0.831043955279524,False,False,False
EXP-D1 M1 (external),duration_band,medium,1109,1109,545,564,545,564,189,312,501,0.45175834084761046,0.5724770642201835,0.3351063829787234,0.8130710453153526,False,False,False
EXP-D1 M1 (external),noise_flag,clean (PP-08),1663,1663,806,857,806,857,343,457,800,0.4810583283223091,0.5669975186104218,0.4002333722287048,0.8111716015715217,False,False,False
EXP-D1 M1 (external),noise_flag,noisy (PP-08),1500,1500,725,775,725,775,190,495,685,0.45666666666666667,0.6827586206896552,0.24516129032258063,0.8411073933442715,False,False,False
EXP-D1 M1 (external),subset,training_data,3163,3163,1531,1632,1531,1632,533,952,1485,0.4694909895668669,0.6218158066623122,0.32659313725490197,0.8249803674734298,False,False,False
